yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	Entry	Entry name		Protein names	Gene names	Organism	Length
HSPA9		H0Y8S0	H0Y8S0_HUMAN	unreviewed	Stress-70 protein, mitochondrial (Fragment)	HSPA9	Homo sapiens (Human)	102
HSPA9		H0YBG6	H0YBG6_HUMAN	unreviewed	Stress-70 protein, mitochondrial (Fragment)	HSPA9	Homo sapiens (Human)	163
HSPA9		P38646	GRP75_HUMAN	reviewed	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	HSPA9 GRP75 HSPA9B mt-HSP70	Homo sapiens (Human)	679
HSPA9		Q8N1C8	Q8N1C8_HUMAN	unreviewed	HSPA9 protein (Fragment)	HSPA9	Homo sapiens (Human)	681
HYOU1		A0A024R3G0	A0A024R3G0_HUMAN	unreviewed	Hypoxia up-regulated 1, isoform CRA_a	HYOU1 hCG_95879	Homo sapiens (Human)	433
HYOU1		A0A087WW13	A0A087WW13_HUMAN	unreviewed	Hypoxia up-regulated protein 1 (Fragment)	HYOU1	Homo sapiens (Human)	102
HYOU1		A0A087WWI4	A0A087WWI4_HUMAN	unreviewed	Hypoxia up-regulated protein 1	HYOU1	Homo sapiens (Human)	677
HYOU1		A0A087X054	A0A087X054_HUMAN	unreviewed	Hypoxia up-regulated protein 1	HYOU1	Homo sapiens (Human)	937
HYOU1		A0A087X214	A0A087X214_HUMAN	unreviewed	Hypoxia up-regulated protein 1 (Fragment)	HYOU1	Homo sapiens (Human)	92
HYOU1		E9PJ21	E9PJ21_HUMAN	unreviewed	Hypoxia up-regulated protein 1 (Fragment)	HYOU1	Homo sapiens (Human)	656
HYOU1		J3KSR2	J3KSR2_HUMAN	unreviewed	Hypoxia up-regulated protein 1	HYOU1	Homo sapiens (Human)	38
HYOU1		J3KTF1	J3KTF1_HUMAN	unreviewed	Hypoxia up-regulated protein 1 (Fragment)	HYOU1	Homo sapiens (Human)	224
HYOU1		J3QL06	J3QL06_HUMAN	unreviewed	Hypoxia up-regulated protein 1 (Fragment)	HYOU1	Homo sapiens (Human)	211
HYOU1		J3QLE9	J3QLE9_HUMAN	unreviewed	Hypoxia up-regulated protein 1 (Fragment)	HYOU1	Homo sapiens (Human)	154
HYOU1		J3QQH7	J3QQH7_HUMAN	unreviewed	Hypoxia up-regulated protein 1 (Fragment)	HYOU1	Homo sapiens (Human)	149
HYOU1		K7EQK2	K7EQK2_HUMAN	unreviewed	Hypoxia up-regulated protein 1	HYOU1	Homo sapiens (Human)	678
HYOU1		Q05D91	Q05D91_HUMAN	unreviewed	HYOU1 protein (Fragment)	HYOU1	Homo sapiens (Human)	657
HYOU1		Q6IN67	Q6IN67_HUMAN	unreviewed	HYOU1 protein	HYOU1	Homo sapiens (Human)	678
HYOU1		Q9BST8	Q9BST8_HUMAN	unreviewed	HYOU1 protein (Hypoxia up-regulated protein 1)	HYOU1	Homo sapiens (Human)	147
HYOU1		Q9Y4L1	HYOU1_HUMAN	reviewed	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	HYOU1 GRP170 ORP150	Homo sapiens (Human)	999
IARS		A0A0A0MSX9	A0A0A0MSX9_HUMAN	unreviewed	Isoleucine--tRNA ligase, cytoplasmic	IARS	Homo sapiens (Human)	1242
IARS		J3KR24	J3KR24_HUMAN	unreviewed	Isoleucine--tRNA ligase, cytoplasmic (Isoleucine-tRNA synthetase, isoform CRA_d)	IARS hCG_31137	Homo sapiens (Human)	1152
IARS		P41252	SYIC_HUMAN	reviewed	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)	IARS	Homo sapiens (Human)	1262
IARS		Q5TCC6	Q5TCC6_HUMAN	unreviewed	Isoleucine--tRNA ligase, cytoplasmic	IARS	Homo sapiens (Human)	174
IARS		Q5TCC9	Q5TCC9_HUMAN	unreviewed	Isoleucine--tRNA ligase, cytoplasmic (Fragment)	IARS	Homo sapiens (Human)	72
IARS		Q5TCD1	Q5TCD1_HUMAN	unreviewed	Isoleucine--tRNA ligase, cytoplasmic (Fragment)	IARS	Homo sapiens (Human)	330
IARS		Q6P0M4	Q6P0M4_HUMAN	unreviewed	IARS protein	IARS	Homo sapiens (Human)	1055
IARS		Q7L4K8	Q7L4K8_HUMAN	unreviewed	IARS protein (Fragment)	IARS	Homo sapiens (Human)	481
IFIT1		P09914	IFIT1_HUMAN	reviewed	Interferon-induced protein with tetratricopeptide repeats 1 (IFIT-1) (Interferon-induced 56 kDa protein) (IFI-56K) (P56)	IFIT1 G10P1 IFI56 IFNAI1 ISG56	Homo sapiens (Human)	478
IGFBP1		C1K3N3	C1K3N3_HUMAN	unreviewed	Insulin-like growth factor binding protein 1 (Fragment)	IGFBP1	Homo sapiens (Human)	258
IGFBP1		C9J6H2	C9J6H2_HUMAN	unreviewed	Insulin-like growth factor-binding protein 1	IGFBP1	Homo sapiens (Human)	216
IGFBP1		C9JXF9	C9JXF9_HUMAN	unreviewed	Insulin-like growth factor-binding protein 1	IGFBP1	Homo sapiens (Human)	257
IGFBP1		P08833	IBP1_HUMAN	reviewed	Insulin-like growth factor-binding protein 1 (IBP-1) (IGF-binding protein 1) (IGFBP-1) (Placental protein 12) (PP12)	IGFBP1 IBP1	Homo sapiens (Human)	259
IGFBP1		Q6PEY6	Q6PEY6_HUMAN	unreviewed	Insulin-like growth factor binding protein 1	IGFBP1	Homo sapiens (Human)	259
IMP3		O00425	IF2B3_HUMAN	reviewed	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	IGF2BP3 IMP3 KOC1 VICKZ3	Homo sapiens (Human)	579
IMP3		Q8TCT8	SPP2A_HUMAN	reviewed	Signal peptide peptidase-like 2A (SPP-like 2A) (SPPL2a) (EC 3.4.23.-) (Intramembrane protease 3) (IMP-3) (Presenilin-like protein 2)	SPPL2A IMP3 PSL2 PSEC0147	Homo sapiens (Human)	520
IMP3		Q9NV31	IMP3_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	IMP3 C15orf12 MRPS4	Homo sapiens (Human)	184
KDELR3		A0A024R1R0	A0A024R1R0_HUMAN	unreviewed	ER lumen protein-retaining receptor	KDELR3 hCG_2010805	Homo sapiens (Human)	214
KDELR3		O43731	ERD23_HUMAN	reviewed	ER lumen protein-retaining receptor 3 (KDEL endoplasmic reticulum protein retention receptor 3) (KDEL receptor 3)	KDELR3	Homo sapiens (Human)	214
KHSRP		A0A087WTP3	A0A087WTP3_HUMAN	unreviewed	Far upstream element-binding protein 2	KHSRP	Homo sapiens (Human)	711
KHSRP		M0QXW7	M0QXW7_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	116
KHSRP		M0QYG1	M0QYG1_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	114
KHSRP		M0QYH3	M0QYH3_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	169
KHSRP		M0R0C6	M0R0C6_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	176
KHSRP		M0R0I5	M0R0I5_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	279
KHSRP		M0R251	M0R251_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	79
KHSRP		M0R263	M0R263_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	143
KHSRP		M0R3J3	M0R3J3_HUMAN	unreviewed	Far upstream element-binding protein 2 (Fragment)	KHSRP	Homo sapiens (Human)	269
KHSRP		Q92945	FUBP2_HUMAN	reviewed	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	KHSRP FUBP2	Homo sapiens (Human)	711
KIF5B		D3DRX6	D3DRX6_HUMAN	unreviewed	Kinesin-like protein	KIF5B hCG_37538	Homo sapiens (Human)	963
KIF5B		P33176	KINH_HUMAN	reviewed	Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC)	KIF5B KNS KNS1	Homo sapiens (Human)	963
KIF5B		Q2TA90	Q2TA90_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF5B	Homo sapiens (Human)	350
KIF5B		Q66K46	Q66K46_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF5B	Homo sapiens (Human)	351
KIF5B		Q6P164	Q6P164_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF5B	Homo sapiens (Human)	345
LSM1		A0A0S2Z590	A0A0S2Z590_HUMAN	unreviewed	LSM1-like protein U6 small nuclear RNA associated isoform 1 (Fragment)	LSM1	Homo sapiens (Human)	133
LSM1		E5RH18	E5RH18_HUMAN	unreviewed	LSM1-like protein U6 small nuclear RNA associated isoform 3 (U6 snRNA-associated Sm-like protein LSm1)	LSM1	Homo sapiens (Human)	44
LSM1		E5RJ47	E5RJ47_HUMAN	unreviewed	U6 snRNA-associated Sm-like protein LSm1	LSM1	Homo sapiens (Human)	44
LSM1		O15116	LSM1_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm)	LSM1 CASM	Homo sapiens (Human)	133
LSM4		M0QXB0	M0QXB0_HUMAN	unreviewed	U6 snRNA-associated Sm-like protein LSm4	LSM4	Homo sapiens (Human)	69
LSM4		Q9Y4Z0	LSM4_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm4 (Glycine-rich protein) (GRP)	LSM4	Homo sapiens (Human)	139
LSM4		U3KQK1	U3KQK1_HUMAN	unreviewed	U6 snRNA-associated Sm-like protein LSm4	LSM4	Homo sapiens (Human)	125
LSM4		U3KQS7	U3KQS7_HUMAN	unreviewed	U6 snRNA-associated Sm-like protein LSm4 (Fragment)	LSM4	Homo sapiens (Human)	109
LSM4		V9GZ56	V9GZ56_HUMAN	unreviewed	U6 snRNA-associated Sm-like protein LSm4 (Fragment)	LSM4	Homo sapiens (Human)	238
MTHFD2		B8ZZU9	B8ZZU9_HUMAN	unreviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	MTHFD2	Homo sapiens (Human)	267
MTHFD2		B9A062	B9A062_HUMAN	unreviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	MTHFD2	Homo sapiens (Human)	222
MTHFD2		F8WF06	F8WF06_HUMAN	unreviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	MTHFD2	Homo sapiens (Human)	36
MTHFD2		F8WF89	F8WF89_HUMAN	unreviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	MTHFD2	Homo sapiens (Human)	37
MTHFD2		P13995	MTDC_HUMAN	reviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	MTHFD2 NMDMC	Homo sapiens (Human)	350
NFYA		A0A024RD22	A0A024RD22_HUMAN	unreviewed	Nuclear transcription factor Y, alpha, isoform CRA_a	NFYA hCG_33333	Homo sapiens (Human)	318
NFYA		A0A0U4C5A9	A0A0U4C5A9_HUMAN	unreviewed	Nuclear transcription factor Y alpha (Nuclear transcription factor Y, alpha, isoform CRA_d)	NFYA hCG_33333	Homo sapiens (Human)	312
NFYA		K9JA49	K9JA49_HUMAN	unreviewed	Nuclear transcription factor Y alpha isoform 1	NFYA	Homo sapiens (Human)	346
NFYA		P23511	NFYA_HUMAN	reviewed	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)	NFYA	Homo sapiens (Human)	347
NFYB		A0A024RBG7	A0A024RBG7_HUMAN	unreviewed	Nuclear transcription factor Y, beta, isoform CRA_c	NFYB hCG_1811685	Homo sapiens (Human)	207
NFYB		F8VSL3	F8VSL3_HUMAN	unreviewed	Nuclear transcription factor Y subunit beta (Fragment)	NFYB	Homo sapiens (Human)	131
NFYB		P25208	NFYB_HUMAN	reviewed	Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB)	NFYB HAP3	Homo sapiens (Human)	207
NHP2		D6RC52	D6RC52_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 2 (Fragment)	NHP2	Homo sapiens (Human)	132
NHP2		D6RCB9	D6RCB9_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 2 (Fragment)	NHP2	Homo sapiens (Human)	135
NHP2		H0YC83	H0YC83_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 2 (Fragment)	NHP2	Homo sapiens (Human)	85
NHP2		J3QSY4	J3QSY4_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 2	NHP2	Homo sapiens (Human)	90
NHP2		Q9NX24	NHP2_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
NOLC1		A0A0A0MRM9	A0A0A0MRM9_HUMAN	unreviewed	Nucleolar and coiled-body phosphoprotein 1 (Fragment)	NOLC1	Homo sapiens (Human)	708
NOLC1		Q14978	NOLC1_HUMAN	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	NOLC1 KIAA0035 NS5ATP13	Homo sapiens (Human)	699
NOLC1		Q96J17	Q96J17_HUMAN	unreviewed	NOLC1 protein (Nucleolar and coiled-body phosphoprotein 1, isoform CRA_a) (cDNA FLJ32193 fis, clone PLACE6002345, highly similar to Nucleolar phosphoprotein p130)	NOLC1 hCG_25636	Homo sapiens (Human)	418
NOLC1		S4R341	S4R341_HUMAN	unreviewed	Nucleolar and coiled-body phosphoprotein 1	NOLC1	Homo sapiens (Human)	73
NOLC1		S4R349	S4R349_HUMAN	unreviewed	Nucleolar and coiled-body phosphoprotein 1 (Fragment)	NOLC1	Homo sapiens (Human)	258
NOLC1		S4R3C2	S4R3C2_HUMAN	unreviewed	Nucleolar and coiled-body phosphoprotein 1 (Fragment)	NOLC1	Homo sapiens (Human)	281
NOLC1		S4R402	S4R402_HUMAN	unreviewed	Nucleolar and coiled-body phosphoprotein 1	NOLC1	Homo sapiens (Human)	46
NOP14		E9PFK5	E9PFK5_HUMAN	unreviewed	Nucleolar protein 14	NOP14	Homo sapiens (Human)	788
NOP14		P78316	NOP14_HUMAN	reviewed	Nucleolar protein 14 (Nucleolar complex protein 14)	NOP14 C4orf9 NOL14 RES4-25	Homo sapiens (Human)	857
NOP14		Q96GC8	Q96GC8_HUMAN	unreviewed	NOP14 protein (Fragment)	NOP14	Homo sapiens (Human)	468
NOP56		A0PJ92	A0PJ92_HUMAN	unreviewed	NOP56 protein (Fragment)	NOP56	Homo sapiens (Human)	447
NOP56		H0Y653	H0Y653_HUMAN	unreviewed	Nucleolar protein 56 (Fragment)	NOP56	Homo sapiens (Human)	219
NOP56		H0YDU4	H0YDU4_HUMAN	unreviewed	Nucleolar protein 56 (Fragment)	NOP56	Homo sapiens (Human)	252
NOP56		O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
NOP56		Q5JXT2	Q5JXT2_HUMAN	unreviewed	Nucleolar protein 56 (Fragment)	NOP56	Homo sapiens (Human)	281
NOP56		Q9BSN3	Q9BSN3_HUMAN	unreviewed	NOP56 protein	NOP56	Homo sapiens (Human)	174
NPM1		A0A0S2Z491	A0A0S2Z491_HUMAN	unreviewed	Nucleophosmin isoform 2 (Fragment)	NPM1	Homo sapiens (Human)	294
NPM1		A0A0S2Z4G7	A0A0S2Z4G7_HUMAN	unreviewed	Nucleophosmin (Nucleolar phosphoprotein B23, numatrin), isoform CRA_f (Nucleophosmin isoform 1) (Fragment)	NPM1 hCG_1979311	Homo sapiens (Human)	265
NPM1		A4ZU86	A4ZU86_HUMAN	unreviewed	Truncated nucleolar phosphoprotein B23	NPM1	Homo sapiens (Human)	274
NPM1		B1PHD4	B1PHD4_HUMAN	unreviewed	Mutant NPM1 protein (Fragment)	NPM1	Homo sapiens (Human)	16
NPM1		E5RGW4	E5RGW4_HUMAN	unreviewed	Nucleophosmin (Fragment)	NPM1	Homo sapiens (Human)	59
NPM1		E5RI98	E5RI98_HUMAN	unreviewed	Nucleophosmin (Fragment)	NPM1	Homo sapiens (Human)	111
NPM1		P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294
NPM1		Q9BTI9	Q9BTI9_HUMAN	unreviewed	NPM1 protein (Fragment)	NPM1	Homo sapiens (Human)	228
OBFC2A		Q96AH0	SOSB2_HUMAN	reviewed	SOSS complex subunit B2 (Nucleic acid-binding protein 1) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2A) (Sensor of single-strand DNA complex subunit B2) (Sensor of ssDNA subunit B2) (SOSS-B2) (Single-stranded DNA-binding protein 2) (hSSB2)	NABP1 OBFC2A SSB2	Homo sapiens (Human)	204
PAIP1		A0A024R094	A0A024R094_HUMAN	unreviewed	Poly(A) binding protein interacting protein 1, isoform CRA_a	PAIP1 hCG_1751685	Homo sapiens (Human)	306
PAIP1		A0A1D5RMS4	A0A1D5RMS4_HUMAN	unreviewed	Polyadenylate-binding protein-interacting protein 1 (Fragment)	PAIP1	Homo sapiens (Human)	9
PAIP1		D6R9H8	D6R9H8_HUMAN	unreviewed	Polyadenylate-binding protein-interacting protein 1	PAIP1	Homo sapiens (Human)	266
PAIP1		D6RD97	D6RD97_HUMAN	unreviewed	Polyadenylate-binding protein-interacting protein 1 (Fragment)	PAIP1	Homo sapiens (Human)	95
PAIP1		D6REB4	D6REB4_HUMAN	unreviewed	Polyadenylate-binding protein-interacting protein 1	PAIP1	Homo sapiens (Human)	351
PAIP1		D6RJ02	D6RJ02_HUMAN	unreviewed	Polyadenylate-binding protein-interacting protein 1 (Fragment)	PAIP1	Homo sapiens (Human)	168
PAIP1		D6RJF2	D6RJF2_HUMAN	unreviewed	Polyadenylate-binding protein-interacting protein 1 (Fragment)	PAIP1	Homo sapiens (Human)	200
PAIP1		H0YA44	H0YA44_HUMAN	unreviewed	Polyadenylate-binding protein-interacting protein 1 (Fragment)	PAIP1	Homo sapiens (Human)	49
PAIP1		Q9H074	PAIP1_HUMAN	reviewed	Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Poly(A)-binding protein-interacting protein 1)	PAIP1	Homo sapiens (Human)	479
PARN		F5H1Z4	F5H1Z4_HUMAN	unreviewed	Poly(A)-specific ribonuclease PARN	PARN	Homo sapiens (Human)	207
PARN		H3BRK1	H3BRK1_HUMAN	unreviewed	Poly(A)-specific ribonuclease PARN (Fragment)	PARN	Homo sapiens (Human)	261
PARN		H3BT23	H3BT23_HUMAN	unreviewed	Poly(A)-specific ribonuclease PARN (Fragment)	PARN	Homo sapiens (Human)	109
PARN		H3BVG1	H3BVG1_HUMAN	unreviewed	Poly(A)-specific ribonuclease PARN	PARN	Homo sapiens (Human)	65
PARN		O95453	PARN_HUMAN	reviewed	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease)	PARN DAN	Homo sapiens (Human)	639
PDIA5		C9JY10	C9JY10_HUMAN	unreviewed	Protein disulfide-isomerase A5 (Fragment)	PDIA5	Homo sapiens (Human)	64
PDIA5		H7C4F9	H7C4F9_HUMAN	unreviewed	Protein disulfide-isomerase A5 (Fragment)	PDIA5	Homo sapiens (Human)	83
PDIA5		Q14554	PDIA5_HUMAN	reviewed	Protein disulfide-isomerase A5 (EC 5.3.4.1) (Protein disulfide isomerase-related protein)	PDIA5 PDIR	Homo sapiens (Human)	519
PDIA6		C9JNG5	C9JNG5_HUMAN	unreviewed	Protein disulfide-isomerase A6 (Fragment)	PDIA6	Homo sapiens (Human)	11
PDIA6		Q15084	PDIA6_HUMAN	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	PDIA6 ERP5 P5 TXNDC7	Homo sapiens (Human)	440
POP4		A0A0A0MQS4	A0A0A0MQS4_HUMAN	unreviewed	Ribonuclease P protein subunit p29	POP4	Homo sapiens (Human)	96
POP4		K7EK50	K7EK50_HUMAN	unreviewed	Ribonuclease P protein subunit p29	POP4	Homo sapiens (Human)	42
POP4		K7EQV2	K7EQV2_HUMAN	unreviewed	Ribonuclease P protein subunit p29 (Fragment)	POP4	Homo sapiens (Human)	150
POP4		K7ERD7	K7ERD7_HUMAN	unreviewed	Ribonuclease P protein subunit p29 (Fragment)	POP4	Homo sapiens (Human)	181
POP4		K7ESH8	K7ESH8_HUMAN	unreviewed	Ribonuclease P protein subunit p29	POP4	Homo sapiens (Human)	40
POP4		O95707	RPP29_HUMAN	reviewed	Ribonuclease P protein subunit p29 (hPOP4) (EC 3.1.26.5)	POP4 RPP29	Homo sapiens (Human)	220
PREB		A0A0F7RPZ8	A0A0F7RPZ8_HUMAN	unreviewed	Prometheus B	PREB	Homo sapiens (Human)	148
PREB		B5MC98	B5MC98_HUMAN	unreviewed	Prolactin regulatory element-binding protein	PREB	Homo sapiens (Human)	359
PREB		F8WCS5	F8WCS5_HUMAN	unreviewed	Prolactin regulatory element-binding protein	PREB	Homo sapiens (Human)	50
PREB		H7BZX0	H7BZX0_HUMAN	unreviewed	Prolactin regulatory element-binding protein (Fragment)	PREB	Homo sapiens (Human)	22
PREB		H7C0W3	H7C0W3_HUMAN	unreviewed	Prolactin regulatory element-binding protein (Fragment)	PREB	Homo sapiens (Human)	176
PREB		H7C2N7	H7C2N7_HUMAN	unreviewed	Prolactin regulatory element-binding protein (Fragment)	PREB	Homo sapiens (Human)	106
PREB		Q05DB2	Q05DB2_HUMAN	unreviewed	PREB protein (Prolactin regulatory element binding, isoform CRA_d)	PREB hCG_23709	Homo sapiens (Human)	345
PREB		Q9HCU5	PREB_HUMAN	reviewed	Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12)	PREB SEC12	Homo sapiens (Human)	417
PSAT1		A0A024R222	A0A024R222_HUMAN	unreviewed	Phosphoserine aminotransferase (EC 2.6.1.52)	PSAT1 hCG_1984423	Homo sapiens (Human)	370
PSAT1		A0A024R280	A0A024R280_HUMAN	unreviewed	Phosphoserine aminotransferase 1, isoform CRA_a	PSAT1 hCG_1984423	Homo sapiens (Human)	324
PSAT1		A9LS35	A9LS35_HUMAN	unreviewed	Phosphoserine aminotransferase (Fragment)	PSAT1	Homo sapiens (Human)	20
PSAT1		Q9Y617	SERC_HUMAN	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	Homo sapiens (Human)	370
RPS14		E5RH77	E5RH77_HUMAN	unreviewed	40S ribosomal protein S14	RPS14	Homo sapiens (Human)	134
RPS14		H0YB22	H0YB22_HUMAN	unreviewed	40S ribosomal protein S14 (Fragment)	RPS14	Homo sapiens (Human)	120
RPS14		P62263	RS14_HUMAN	reviewed	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	RPS14 PRO2640	Homo sapiens (Human)	151
RPS14		Q15372	Q15372_HUMAN	unreviewed	Putative uncharacterized protein RPS14	RPS14	Homo sapiens (Human)	164
RRP9		O43818	U3IP2_HUMAN	reviewed	U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)	RRP9 RNU3IP2 U355K	Homo sapiens (Human)	475
SDAD1		D6RC74	D6RC74_HUMAN	unreviewed	Protein SDA1 homolog	SDAD1	Homo sapiens (Human)	88
SDAD1		D6RIR5	D6RIR5_HUMAN	unreviewed	Protein SDA1 homolog	SDAD1	Homo sapiens (Human)	47
SDAD1		E7EW05	E7EW05_HUMAN	unreviewed	Protein SDA1 homolog	SDAD1	Homo sapiens (Human)	650
SDAD1		F8W8T7	F8W8T7_HUMAN	unreviewed	Protein SDA1 homolog	SDAD1	Homo sapiens (Human)	72
SDAD1		Q9NVU7	SDA1_HUMAN	reviewed	Protein SDA1 homolog (Nucleolar protein 130) (SDA1 domain-containing protein 1) (hSDA)	SDAD1 NUC130	Homo sapiens (Human)	687
SEC11A		H0YKT4	H0YKT4_HUMAN	unreviewed	Signal peptidase complex catalytic subunit SEC11A	SEC11A	Homo sapiens (Human)	129
SEC11A		H0YNA5	H0YNA5_HUMAN	unreviewed	Signal peptidase I (EC 3.4.21.89) (Fragment)	SEC11A	Homo sapiens (Human)	135
SEC11A		H0YNG3	H0YNG3_HUMAN	unreviewed	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)	SEC11A	Homo sapiens (Human)	163
SEC11A		H0YNX5	H0YNX5_HUMAN	unreviewed	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89) (Fragment)	SEC11A	Homo sapiens (Human)	106
SEC11A		P67812	SC11A_HUMAN	reviewed	Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18)	SEC11A SEC11L1 SPC18 SPCS4A	Homo sapiens (Human)	179
SEC31A		A0A024A2P5	A0A024A2P5_HUMAN	unreviewed	SEC31A/ALK fusion protein (Fragment)	ALK fusion SEC31A	Homo sapiens (Human)	66
SEC31A		D6RAB3	D6RAB3_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	68
SEC31A		D6RBT0	D6RBT0_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	81
SEC31A		D6RCQ9	D6RCQ9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	166
SEC31A		D6RE64	D6RE64_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	164
SEC31A		D6REA9	D6REA9_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	66
SEC31A		D6REC0	D6REC0_HUMAN	unreviewed	Protein transport protein Sec31A (Fragment)	SEC31A	Homo sapiens (Human)	26
SEC31A		D6REX3	D6REX3_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	1251
SEC31A		D6RHE8	D6RHE8_HUMAN	unreviewed	Protein transport protein Sec31A	SEC31A	Homo sapiens (Human)	92
