yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	Entry	Entry name		Protein names	Gene names	Organism	Length
CD44		O95658	O95658_HUMAN	unreviewed	Soluble CD44 (Fragment)	CD44	Homo sapiens (Human)	31
CD44		O95659	O95659_HUMAN	unreviewed	Soluble CD44 (Fragment)	CD44	Homo sapiens (Human)	33
CD44		P16070	CD44_HUMAN	reviewed	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
CD44		Q86UZ1	Q86UZ1_HUMAN	unreviewed	CD44 antigen (CD44 protein)	CD44	Homo sapiens (Human)	80
CD44		Q99900	Q99900_HUMAN	unreviewed	CD44 protein (Fragment)	CD44	Homo sapiens (Human)	177
CD44		Q9P2Z2	Q9P2Z2_HUMAN	unreviewed	CD44 epithelial domain (Fragment)	CD44	Homo sapiens (Human)	127
CD69		B4E009	B4E009_HUMAN	unreviewed	Early activation antigen CD69 (cDNA FLJ55409, highly similar to Early activation antigen CD69)	CD69	Homo sapiens (Human)	164
CD69		Q07108	CD69_HUMAN	reviewed	Early activation antigen CD69 (Activation inducer molecule) (AIM) (BL-AC/P26) (C-type lectin domain family 2 member C) (EA1) (Early T-cell activation antigen p60) (GP32/28) (Leukocyte surface antigen Leu-23) (MLR-3) (CD antigen CD69)	CD69 CLEC2C	Homo sapiens (Human)	199
CD69		Q53ZX0	Q53ZX0_HUMAN	unreviewed	CD69 antigen (CD69 antigen (P60, early T-cell activation antigen), isoform CRA_a) (cDNA FLJ75888, highly similar to Homo sapiens CD69 antigen (p60, early T-cell activation antigen) (CD69), mRNA)	CD69 hCG_38142	Homo sapiens (Human)	199
CD69		Q6LAB3	Q6LAB3_HUMAN	unreviewed	CD69 protein (Fragment)	CD69	Homo sapiens (Human)	21
CDC25B		B3KS38	B3KS38_HUMAN	unreviewed	HCG39252, isoform CRA_g (Isoform CDC25B6) (EC 3.1.3.48) (cDNA FLJ35394 fis, clone SKNSH2002768, highly similar to M-PHASE INDUCER PHOSPHATASE 2 (EC 3.1.3.48))	CDC25B hCG_39252	Homo sapiens (Human)	468
CDC25B		B4DIG0	B4DIG0_HUMAN	unreviewed	M-phase inducer phosphatase 2 (cDNA FLJ53333, highly similar to M-phase inducer phosphatase 2 (EC 3.1.3.48))	CDC25B	Homo sapiens (Human)	516
CDC25B		E1YMX4	E1YMX4_HUMAN	unreviewed	Isoform CDC25B7 (EC 3.1.3.48)	CDC25B	Homo sapiens (Human)	427
CDC25B		G8JLH2	G8JLH2_HUMAN	unreviewed	M-phase inducer phosphatase 2	CDC25B	Homo sapiens (Human)	489
CDC25B		L8E819	L8E819_HUMAN	unreviewed	Alternative protein CDC25B	CDC25B	Homo sapiens (Human)	51
CDC25B		O43550	O43550_HUMAN	unreviewed	Cdc25B phosphatase (Fragment)	CDC25B	Homo sapiens (Human)	305
CDC25B		P30305	MPIP2_HUMAN	reviewed	M-phase inducer phosphatase 2 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25B)	CDC25B CDC25HU2	Homo sapiens (Human)	580
CDC25B		Q7LDQ7	Q7LDQ7_HUMAN	unreviewed	Cdc25B phosphatase (Fragment)	CDC25B	Homo sapiens (Human)	283
CDK2		A0A024RB10	A0A024RB10_HUMAN	unreviewed	Cyclin-dependent kinase 2, isoform CRA_a	CDK2 hCG_24992	Homo sapiens (Human)	264
CDK2		A0A024RB77	A0A024RB77_HUMAN	unreviewed	Cyclin-dependent kinase 2, isoform CRA_b	CDK2 hCG_24992	Homo sapiens (Human)	298
CDK2		E7ESI2	E7ESI2_HUMAN	unreviewed	Cyclin-dependent kinase 2	CDK2	Homo sapiens (Human)	238
CDK2		G3V317	G3V317_HUMAN	unreviewed	Cyclin-dependent kinase 2	CDK2	Homo sapiens (Human)	39
CDK2		G3V5T9	G3V5T9_HUMAN	unreviewed	Cyclin-dependent kinase 2 (Cyclin-dependent kinase 2, isoform CRA_c)	CDK2 hCG_24992	Homo sapiens (Human)	346
CDK2		P24941	CDK2_HUMAN	reviewed	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	CDK2 CDKN2	Homo sapiens (Human)	298
CDKN1A		A0A024RCX5	A0A024RCX5_HUMAN	unreviewed	Cyclin-dependent kinase inhibitor 1A (P21, Cip1), isoform CRA_a	CDKN1A hCG_15367	Homo sapiens (Human)	164
CDKN1A		P38936	CDN1A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21)	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	Homo sapiens (Human)	164
CDKN1B		A7KMP4	A7KMP4_HUMAN	unreviewed	Truncated cyclin-dependent kinase inhibitor 1B	CDKN1B	Homo sapiens (Human)	129
CDKN1B		E7ES52	E7ES52_HUMAN	unreviewed	Cyclin-dependent kinase inhibitor 1B	CDKN1B	Homo sapiens (Human)	205
CDKN1B		H7C2T1	H7C2T1_HUMAN	unreviewed	Cyclin-dependent kinase inhibitor 1B (Fragment)	CDKN1B	Homo sapiens (Human)	104
CDKN1B		P46527	CDN1B_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1	Homo sapiens (Human)	198
CDKN1B		Q6I9V6	Q6I9V6_HUMAN	unreviewed	CDKN1B protein (Cyclin-dependent kinase inhibitor 1B) (Cyclin-dependent kinase inhibitor 1B (P27, Kip1), isoform CRA_a) (cDNA, FLJ92816, Homo sapiens cyclin-dependent kinase inhibitor 1B (p27, Kip1)(CDKN1B), mRNA)	CDKN1B hCG_27692	Homo sapiens (Human)	198
CDKN1B		Q708J1	Q708J1_HUMAN	unreviewed	Cyclin-dependent kinase inhibitor 1B (Fragment)	CDKN1B	Homo sapiens (Human)	136
CFLAR		A0A024R3Y3	A0A024R3Y3_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator, isoform CRA_d	CFLAR hCG_16553	Homo sapiens (Human)	445
CFLAR		A0A024R3Z7	A0A024R3Z7_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator, isoform CRA_c (Testis secretory sperm-binding protein Li 233m)	CFLAR hCG_16553	Homo sapiens (Human)	480
CFLAR		A0A0A0MR92	A0A0A0MR92_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator	CFLAR	Homo sapiens (Human)	321
CFLAR		C9J408	C9J408_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator (Fragment)	CFLAR	Homo sapiens (Human)	129
CFLAR		C9J4Q0	C9J4Q0_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator (Fragment)	CFLAR	Homo sapiens (Human)	64
CFLAR		C9JSU3	C9JSU3_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator (Fragment)	CFLAR	Homo sapiens (Human)	62
CFLAR		C9JV51	C9JV51_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator (Fragment)	CFLAR	Homo sapiens (Human)	118
CFLAR		E9PAP3	E9PAP3_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator	CFLAR	Homo sapiens (Human)	250
CFLAR		F8WBH9	F8WBH9_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator	CFLAR	Homo sapiens (Human)	243
CFLAR		M0QY57	M0QY57_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator	CFLAR	Homo sapiens (Human)	117
CFLAR		M0QYM0	M0QYM0_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator (Fragment)	CFLAR	Homo sapiens (Human)	168
CFLAR		M0R1A8	M0R1A8_HUMAN	unreviewed	CASP8 and FADD-like apoptosis regulator (Fragment)	CFLAR	Homo sapiens (Human)	117
CFLAR		O15519	CFLAR_HUMAN	reviewed	CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12]	CFLAR CASH CASP8AP1 CLARP MRIT	Homo sapiens (Human)	480
CLU		E5RG36	E5RG36_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	82
CLU		E5RGB0	E5RGB0_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	129
CLU		E5RH61	E5RH61_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	135
CLU		E5RJD6	E5RJD6_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	32
CLU		E5RJZ5	E5RJZ5_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	139
CLU		E7ERK6	E7ERK6_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	204
CLU		E7ETB4	E7ETB4_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	271
CLU		H0YAS8	H0YAS8_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	140
CLU		H0YC35	H0YC35_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	284
CLU		H0YLK8	H0YLK8_HUMAN	unreviewed	Clusterin (Fragment)	CLU	Homo sapiens (Human)	297
CLU		P10909	CLUS_HUMAN	reviewed	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	CLU APOJ CLI KUB1 AAG4	Homo sapiens (Human)	449
CLU		Q8IWM0	Q8IWM0_HUMAN	unreviewed	Apolipoprotein J (Fragment)	CLU	Homo sapiens (Human)	76
CREBBP		A0A1B0GUU0	A0A1B0GUU0_HUMAN	unreviewed	CREB-binding protein (Fragment)	CREBBP	Homo sapiens (Human)	33
CREBBP		B5A210	B5A210_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	27
CREBBP		B5A211	B5A211_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	42
CREBBP		B5A212	B5A212_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	55
CREBBP		B5A213	B5A213_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	60
CREBBP		B5A214	B5A214_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	47
CREBBP		B5A215	B5A215_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	67
CREBBP		B5A216	B5A216_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	27
CREBBP		B5A217	B5A217_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	16
CREBBP		B5A218	B5A218_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	24
CREBBP		B5A219	B5A219_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	29
CREBBP		B5A220	B5A220_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	11
CREBBP		B5A221	B5A221_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	19
CREBBP		B5A222	B5A222_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	39
CREBBP		B5A223	B5A223_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	46
CREBBP		B5A224	B5A224_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	68
CREBBP		B5A225	B5A225_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	35
CREBBP		B5A226	B5A226_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	71
CREBBP		B5A227	B5A227_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	45
CREBBP		B5A228	B5A228_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	40
CREBBP		B5A229	B5A229_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	46
CREBBP		B5A230	B5A230_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	27
CREBBP		B5A231	B5A231_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	37
CREBBP		B5A232	B5A232_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	37
CREBBP		B5A233	B5A233_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	37
CREBBP		B5A234	B5A234_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	37
CREBBP		B5A235	B5A235_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	34
CREBBP		B5A236	B5A236_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	74
CREBBP		B5A237	B5A237_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	80
CREBBP		B5A238	B5A238_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	63
CREBBP		B5A239	B5A239_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	67
CREBBP		B5A240	B5A240_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	54
CREBBP		B5A241	B5A241_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	52
CREBBP		B5A242	B5A242_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	44
CREBBP		B5A243	B5A243_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	38
CREBBP		B5A244	B5A244_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	50
CREBBP		B5A246	B5A246_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	33
CREBBP		B5A248	B5A248_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	68
CREBBP		B5A249	B5A249_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	14
CREBBP		B5A250	B5A250_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	32
CREBBP		B5A252	B5A252_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	26
CREBBP		B5A253	B5A253_HUMAN	unreviewed	CREBBP (Fragment)	CREBBP	Homo sapiens (Human)	33
CREBBP		I3L0Q1	I3L0Q1_HUMAN	unreviewed	CREB-binding protein (Fragment)	CREBBP	Homo sapiens (Human)	254
CREBBP		I3L293	I3L293_HUMAN	unreviewed	CREB-binding protein (Fragment)	CREBBP	Homo sapiens (Human)	181
CREBBP		I3L3I5	I3L3I5_HUMAN	unreviewed	CREB-binding protein (Fragment)	CREBBP	Homo sapiens (Human)	196
CREBBP		I3L466	I3L466_HUMAN	unreviewed	CREB-binding protein (Fragment)	CREBBP	Homo sapiens (Human)	1105
CREBBP		Q4G0V0	Q4G0V0_HUMAN	unreviewed	CREBBP protein (Fragment)	CREBBP	Homo sapiens (Human)	80
CREBBP		Q92793	CBP_HUMAN	reviewed	CREB-binding protein (EC 2.3.1.48)	CREBBP CBP	Homo sapiens (Human)	2442
CTH		P32929	CGL_HUMAN	reviewed	Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)	CTH	Homo sapiens (Human)	405
CTH		Q96IQ7	VSIG2_HUMAN	reviewed	V-set and immunoglobulin domain-containing protein 2 (Cortical thymocyte-like protein) (CT-like protein)	VSIG2 CTH CTXL UNQ2770/PRO7154	Homo sapiens (Human)	327
CTNNB1		A0A024R2Q3	A0A024R2Q3_HUMAN	unreviewed	Catenin (Cadherin-associated protein), beta 1, 88kDa, isoform CRA_a	CTNNB1 hCG_27815	Homo sapiens (Human)	781
CTNNB1		B4DGU4	B4DGU4_HUMAN	unreviewed	Catenin beta-1 (cDNA FLJ57878, highly similar to Beta-catenin)	CTNNB1	Homo sapiens (Human)	774
CTNNB1		B5BU28	B5BU28_HUMAN	unreviewed	Catenin beta-1	CTNNB1	Homo sapiens (Human)	781
CTNNB1		C9IZ65	C9IZ65_HUMAN	unreviewed	Catenin beta-1 (Fragment)	CTNNB1	Homo sapiens (Human)	59
CTNNB1		C9JV16	C9JV16_HUMAN	unreviewed	Catenin beta-1 (Fragment)	CTNNB1	Homo sapiens (Human)	13
CTNNB1		E7EMJ5	E7EMJ5_HUMAN	unreviewed	Catenin beta-1 (Fragment)	CTNNB1	Homo sapiens (Human)	149
CTNNB1		E7EV28	E7EV28_HUMAN	unreviewed	Catenin beta-1 (Fragment)	CTNNB1	Homo sapiens (Human)	108
CTNNB1		E9PDF9	E9PDF9_HUMAN	unreviewed	Catenin beta-1 (Fragment)	CTNNB1	Homo sapiens (Human)	100
CTNNB1		G9GAG7	G9GAG7_HUMAN	unreviewed	Cadherin-associated protein (Fragment)	CTNNB1	Homo sapiens (Human)	71
CTNNB1		P35222	CTNB1_HUMAN	reviewed	Catenin beta-1 (Beta-catenin)	CTNNB1 CTNNB OK/SW-cl.35 PRO2286	Homo sapiens (Human)	781
CYLD		A0A024R6Q9	A0A024R6Q9_HUMAN	unreviewed	Cylindromatosis (Turban tumor syndrome), isoform CRA_b	CYLD hCG_1811700	Homo sapiens (Human)	635
CYLD		A0A024R6T1	A0A024R6T1_HUMAN	unreviewed	Cylindromatosis (Turban tumor syndrome), isoform CRA_a	CYLD hCG_1811700	Homo sapiens (Human)	953
CYLD		D6CJC5	D6CJC5_HUMAN	unreviewed	CYLD protein (Fragment)	CYLD	Homo sapiens (Human)	39
CYLD		D6CJC6	D6CJC6_HUMAN	unreviewed	CYLD protein (Fragment)	CYLD	Homo sapiens (Human)	38
CYLD		D6CJC7	D6CJC7_HUMAN	unreviewed	CYLD protein (Fragment)	CYLD	Homo sapiens (Human)	17
CYLD		D6CJC8	D6CJC8_HUMAN	unreviewed	CYLD protein (Fragment)	CYLD	Homo sapiens (Human)	16
CYLD		H3BPZ5	H3BPZ5_HUMAN	unreviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (Fragment)	CYLD	Homo sapiens (Human)	33
CYLD		H3BS09	H3BS09_HUMAN	unreviewed	Ubiquitin carboxyl-terminal hydrolase CYLD	CYLD	Homo sapiens (Human)	771
CYLD		H3BSW9	H3BSW9_HUMAN	unreviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (Fragment)	CYLD	Homo sapiens (Human)	304
CYLD		H3BTB8	H3BTB8_HUMAN	unreviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (Fragment)	CYLD	Homo sapiens (Human)	166
CYLD		I3L117	I3L117_HUMAN	unreviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (Fragment)	CYLD	Homo sapiens (Human)	66
CYLD		J3KRR7	J3KRR7_HUMAN	unreviewed	Ubiquitin carboxyl-terminal hydrolase CYLD	CYLD	Homo sapiens (Human)	910
CYLD		J3QKR2	J3QKR2_HUMAN	unreviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (Fragment)	CYLD	Homo sapiens (Human)	104
CYLD		Q9NQC7	CYLD_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)	CYLD CYLD1 KIAA0849 HSPC057	Homo sapiens (Human)	956
DAP		B4DQ75	B4DQ75_HUMAN	unreviewed	Death-associated protein 1 (cDNA FLJ55133, weakly similar to Death-associated protein 1)	DAP	Homo sapiens (Human)	204
DAP		P51397	DAP1_HUMAN	reviewed	Death-associated protein 1 (DAP-1)	DAP DAP1	Homo sapiens (Human)	102
DAP		Q7KZT7	Q7KZT7_HUMAN	unreviewed	Death-associated protein (Death-associated protein, isoform CRA_b)	DAP hCG_37855	Homo sapiens (Human)	176
DAP		Q9ULA0	DNPEP_HUMAN	reviewed	Aspartyl aminopeptidase (EC 3.4.11.21)	DNPEP ASPEP DAP	Homo sapiens (Human)	475
DAP3		O95886	DLGP3_HUMAN	reviewed	Disks large-associated protein 3 (DAP-3) (PSD-95/SAP90-binding protein 3) (SAP90/PSD-95-associated protein 3) (SAPAP3)	DLGAP3 DAP3	Homo sapiens (Human)	979
DAP3		P51398	RT29_HUMAN	reviewed	28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein) (Mitochondrial small ribosomal subunit protein mS29)	DAP3 MRPS29	Homo sapiens (Human)	398
DAP3		V9GY11	V9GY11_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	181
DAP3		V9GYA7	V9GYA7_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	210
DAP3		V9GYC9	V9GYC9_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	115
DAP3		V9GYF7	V9GYF7_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	45
DAP3		V9GYJ3	V9GYJ3_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	119
DAP3		V9GYJ9	V9GYJ9_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	266
DAP3		V9GYL4	V9GYL4_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial	DAP3	Homo sapiens (Human)	113
DAP3		V9GYL9	V9GYL9_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	299
DAP3		V9GYR8	V9GYR8_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	65
DAP3		V9GYW1	V9GYW1_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	140
DAP3		V9GZ03	V9GZ03_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	242
DAP3		V9GZ61	V9GZ61_HUMAN	unreviewed	28S ribosomal protein S29, mitochondrial (Fragment)	DAP3	Homo sapiens (Human)	106
DCN		A0A024RBG6	A0A024RBG6_HUMAN	unreviewed	Decorin, isoform CRA_f	DCN hCG_24110	Homo sapiens (Human)	212
DCN		A0A0S2Z3J8	A0A0S2Z3J8_HUMAN	unreviewed	Decorin isoform 3	DCN	Homo sapiens (Human)	46
DCN		A0A0S2Z3L3	A0A0S2Z3L3_HUMAN	unreviewed	Decorin isoform 4	DCN	Homo sapiens (Human)	42
DCN		A0A0S2Z3L8	A0A0S2Z3L8_HUMAN	unreviewed	Decorin isoform 2 (Fragment)	DCN	Homo sapiens (Human)	148
DCN		F8VNV6	F8VNV6_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	177
DCN		F8VNW0	F8VNW0_HUMAN	unreviewed	Decorin	DCN	Homo sapiens (Human)	88
DCN		F8VSI3	F8VSI3_HUMAN	unreviewed	Decorin	DCN	Homo sapiens (Human)	100
DCN		F8VU58	F8VU58_HUMAN	unreviewed	Decorin	DCN	Homo sapiens (Human)	98
DCN		F8VUF6	F8VUF6_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	178
DCN		F8VWU0	F8VWU0_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	179
DCN		F8VX58	F8VX58_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	119
DCN		F8VXZ8	F8VXZ8_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	174
DCN		H0YI87	H0YI87_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	52
DCN		H0YIH3	H0YIH3_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	95
DCN		P07585	PGS2_HUMAN	reviewed	Decorin (Bone proteoglycan II) (PG-S2) (PG40)	DCN SLRR1B	Homo sapiens (Human)	359
DCN		Q6FH10	Q6FH10_HUMAN	unreviewed	DCN protein (Decorin isoform 1) (Decorin, isoform CRA_b) (Putative uncharacterized protein DKFZp686J19238) (cDNA FLJ75936, highly similar to Homo sapiens decorin (DCN), transcript variant A1, mRNA)	DCN DKFZp686J19238 hCG_24110	Homo sapiens (Human)	359
DDIT3		F8W133	F8W133_HUMAN	unreviewed	DNA damage-inducible transcript 3 protein (Fragment)	DDIT3	Homo sapiens (Human)	145
DDIT3		P35638	DDIT3_HUMAN	reviewed	DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153)	DDIT3 CHOP CHOP10 GADD153	Homo sapiens (Human)	169
DDIT3		Q53YD1	Q53YD1_HUMAN	unreviewed	DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (C/EBP-homologous protein 10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA-damage-inducible protein GADD153)	DDIT3 hCG_39661	Homo sapiens (Human)	169
DFFA		A0A024R4H5	A0A024R4H5_HUMAN	unreviewed	DNAation factor, 45kDa, alpha polypeptide, isoform CRA_b	DFFA hCG_25280	Homo sapiens (Human)	268
DFFA		K7ERT1	K7ERT1_HUMAN	unreviewed	DNA fragmentation factor subunit alpha	DFFA	Homo sapiens (Human)	159
DFFA		O00273	DFFA_HUMAN	reviewed	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	DFFA DFF1 DFF45 H13	Homo sapiens (Human)	331
DIABLO		A0A024RBT2	A0A024RBT2_HUMAN	unreviewed	Diablo homolog, mitochondrial (HCG1782202, isoform CRA_c)	DIABLO hCG_1782202	Homo sapiens (Human)	166
DIABLO		A0A0S2Z5P6	A0A0S2Z5P6_HUMAN	unreviewed	Diablo-like protein isoform 2 (Fragment)	DIABLO	Homo sapiens (Human)	195
DIABLO		A0A0S2Z5U7	A0A0S2Z5U7_HUMAN	unreviewed	Diablo-like protein isoform 1 (Fragment)	DIABLO	Homo sapiens (Human)	239
