yourlist:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	isomap:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	Entry	Entry name		Protein names	Gene names	Organism	Length
KATNA1		A8K7S5	A8K7S5_HUMAN	unreviewed	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 3.6.4.3) (p60 katanin)	KATNA1	Homo sapiens (Human)	491
KATNA1		B2RDY3	B2RDY3_HUMAN	unreviewed	Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (Katanin p60 subunit A1) (EC 3.6.4.3) (Katanin p60 ATPase-containing subunit A1) (p60 katanin) (p60 katanin-like 1)	KATNAL1 KATNA1	Homo sapiens (Human)	490
KATNA1		B3KUK7	B3KUK7_HUMAN	unreviewed	Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (Katanin p60 subunit A1) (EC 3.6.4.3) (Katanin p60 ATPase-containing subunit A1) (p60 katanin) (p60 katanin-like 1)	KATNA1 KATNAL1	Homo sapiens (Human)	490
KATNA1		B7ZBC8	B7ZBC8_HUMAN	unreviewed	Katanin p60 ATPase-containing subunit A1 (Fragment)	KATNA1	Homo sapiens (Human)	280
KATNA1		B7ZBC9	B7ZBC9_HUMAN	unreviewed	Katanin p60 ATPase-containing subunit A1 (Fragment)	KATNA1	Homo sapiens (Human)	211
KATNA1		O75449	KTNA1_HUMAN	reviewed	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 3.6.4.3) (p60 katanin)	KATNA1	Homo sapiens (Human)	491
KATNB1		A0A024R6U1	A0A024R6U1_HUMAN	unreviewed	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	KATNB1 hCG_16488	Homo sapiens (Human)	564
KATNB1		H3BPD8	H3BPD8_HUMAN	unreviewed	Katanin p80 WD40 repeat-containing subunit B1 (Fragment)	KATNB1	Homo sapiens (Human)	208
KATNB1		H3BPK1	H3BPK1_HUMAN	unreviewed	Katanin p80 WD40 repeat-containing subunit B1 (Fragment)	KATNB1	Homo sapiens (Human)	210
KATNB1		H3BT67	H3BT67_HUMAN	unreviewed	Katanin p80 WD40 repeat-containing subunit B1 (Fragment)	KATNB1	Homo sapiens (Human)	117
KATNB1		H3BTU7	H3BTU7_HUMAN	unreviewed	Katanin p80 WD40 repeat-containing subunit B1 (Fragment)	KATNB1	Homo sapiens (Human)	276
KATNB1		H3BTV8	H3BTV8_HUMAN	unreviewed	Katanin p80 WD40 repeat-containing subunit B1 (Fragment)	KATNB1	Homo sapiens (Human)	79
KATNB1		Q9BVA0	KTNB1_HUMAN	reviewed	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	KATNB1	Homo sapiens (Human)	655
KIF11		P52732	KIF11_HUMAN	reviewed	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	KIF11 EG5 KNSL1 TRIP5	Homo sapiens (Human)	1056
KIF15		C9JKA9	C9JKA9_HUMAN	unreviewed	Kinesin-like protein KIF15	KIF15	Homo sapiens (Human)	1023
KIF15		D6RCT7	D6RCT7_HUMAN	unreviewed	Kinesin-like protein KIF15 (Fragment)	KIF15	Homo sapiens (Human)	711
KIF15		F8WC33	F8WC33_HUMAN	unreviewed	Kinesin-like protein KIF15	KIF15	Homo sapiens (Human)	83
KIF15		H7BZT2	H7BZT2_HUMAN	unreviewed	Kinesin-like protein KIF15 (Fragment)	KIF15	Homo sapiens (Human)	194
KIF15		H7C1K7	H7C1K7_HUMAN	unreviewed	Kinesin-like protein KIF15 (Fragment)	KIF15	Homo sapiens (Human)	128
KIF15		Q9NS87	KIF15_HUMAN	reviewed	Kinesin-like protein KIF15 (Kinesin-like protein 2) (hKLP2) (Kinesin-like protein 7) (Serologically defined breast cancer antigen NY-BR-62)	KIF15 KLP2 KNSL7	Homo sapiens (Human)	1388
KIF1B		A0A024R4H4	A0A024R4H4_HUMAN	unreviewed	Kinesin family member 1B, isoform CRA_b	KIF1B hCG_25285	Homo sapiens (Human)	1633
KIF1B		A0A087WWA3	A0A087WWA3_HUMAN	unreviewed	Kinesin-like protein KIF1B	KIF1B	Homo sapiens (Human)	1797
KIF1B		A0A0U1RQL3	A0A0U1RQL3_HUMAN	unreviewed	Kinesin-like protein KIF1B (Fragment)	KIF1B	Homo sapiens (Human)	498
KIF1B		O60333	KIF1B_HUMAN	reviewed	Kinesin-like protein KIF1B (Klp)	KIF1B KIAA0591 KIAA1448	Homo sapiens (Human)	1816
KIF1B		Q4R9M9	Q4R9M9_HUMAN	unreviewed	Kinesin family member 1Bbeta isoform II (Kinesin-like protein KIF1B)	KIF1Bbeta KIF1B	Homo sapiens (Human)	1809
KIF20B		A0A0A0MSJ5	A0A0A0MSJ5_HUMAN	unreviewed	Kinesin-like protein KIF20B (Fragment)	KIF20B	Homo sapiens (Human)	206
KIF20B		Q96Q89	KI20B_HUMAN	reviewed	Kinesin-like protein KIF20B (Cancer/testis antigen 90) (CT90) (Kinesin family member 20B) (Kinesin-related motor interacting with PIN1) (M-phase phosphoprotein 1) (MPP1)	KIF20B KRMP1 MPHOSPH1	Homo sapiens (Human)	1820
KIF22		A0A024R632	A0A024R632_HUMAN	unreviewed	Kinesin-like protein	KIF22 hCG_2039829	Homo sapiens (Human)	597
KIF22		H3BQB9	H3BQB9_HUMAN	unreviewed	Kinesin-like protein KIF22	KIF22	Homo sapiens (Human)	89
KIF22		H3BRB3	H3BRB3_HUMAN	unreviewed	Kinesin-like protein	KIF22	Homo sapiens (Human)	611
KIF22		H3BTH5	H3BTH5_HUMAN	unreviewed	Kinesin-like protein KIF22 (Fragment)	KIF22	Homo sapiens (Human)	185
KIF22		I3L306	I3L306_HUMAN	unreviewed	Kinesin-like protein KIF22 (Fragment)	KIF22	Homo sapiens (Human)	72
KIF22		Q14807	KIF22_HUMAN	reviewed	Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4)	KIF22 KID KNSL4	Homo sapiens (Human)	665
KIF23		H0YKQ5	H0YKQ5_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF23	Homo sapiens (Human)	267
KIF23		H0YME6	H0YME6_HUMAN	unreviewed	Kinesin-like protein KIF23	KIF23	Homo sapiens (Human)	371
KIF23		H0YMJ4	H0YMJ4_HUMAN	unreviewed	Kinesin-like protein KIF23	KIF23	Homo sapiens (Human)	109
KIF23		H7BYN4	H7BYN4_HUMAN	unreviewed	Kinesin-like protein	KIF23	Homo sapiens (Human)	952
KIF23		Q02241	KIF23_HUMAN	reviewed	Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1)	KIF23 KNSL5 MKLP1	Homo sapiens (Human)	960
KIF2C		H0Y5Z9	H0Y5Z9_HUMAN	unreviewed	Kinesin-like protein KIF2C (Fragment)	KIF2C	Homo sapiens (Human)	107
KIF2C		Q5JR89	Q5JR89_HUMAN	unreviewed	Kinesin-like protein KIF2C (Fragment)	KIF2C	Homo sapiens (Human)	287
KIF2C		Q5JR91	Q5JR91_HUMAN	unreviewed	Kinesin-like protein KIF2C (Fragment)	KIF2C	Homo sapiens (Human)	336
KIF2C		Q99661	KIF2C_HUMAN	reviewed	Kinesin-like protein KIF2C (Kinesin-like protein 6) (Mitotic centromere-associated kinesin) (MCAK)	KIF2C KNSL6	Homo sapiens (Human)	725
KIF3B		O15066	KIF3B_HUMAN	reviewed	Kinesin-like protein KIF3B (HH0048) (Microtubule plus end-directed kinesin motor 3B) [Cleaved into: Kinesin-like protein KIF3B, N-terminally processed]	KIF3B KIAA0359	Homo sapiens (Human)	747
KIF3C		A2RU78	A2RU78_HUMAN	unreviewed	Kinesin-like protein	KIF3C hCG_21381	Homo sapiens (Human)	793
KIF3C		B7ZM25	B7ZM25_HUMAN	unreviewed	Kinesin-like protein	KIF3C	Homo sapiens (Human)	791
KIF3C		F8WAR6	F8WAR6_HUMAN	unreviewed	Kinesin-like protein	KIF3C	Homo sapiens (Human)	672
KIF3C		F8WER6	F8WER6_HUMAN	unreviewed	Kinesin-like protein	KIF3C	Homo sapiens (Human)	685
KIF3C		I6L9B9	I6L9B9_HUMAN	unreviewed	Kinesin-like protein	KIF3C	Homo sapiens (Human)	792
KIF3C		O14782	KIF3C_HUMAN	reviewed	Kinesin-like protein KIF3C	KIF3C	Homo sapiens (Human)	793
KIF4A		O95239	KIF4A_HUMAN	reviewed	Chromosome-associated kinesin KIF4A (Chromokinesin-A)	KIF4A KIF4	Homo sapiens (Human)	1232
KIF4A		Q6PKB2	Q6PKB2_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF4A	Homo sapiens (Human)	787
KIF5B		D3DRX6	D3DRX6_HUMAN	unreviewed	Kinesin-like protein	KIF5B hCG_37538	Homo sapiens (Human)	963
KIF5B		P33176	KINH_HUMAN	reviewed	Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC)	KIF5B KNS KNS1	Homo sapiens (Human)	963
KIF5B		Q2TA90	Q2TA90_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF5B	Homo sapiens (Human)	350
KIF5B		Q66K46	Q66K46_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF5B	Homo sapiens (Human)	351
KIF5B		Q6P164	Q6P164_HUMAN	unreviewed	Kinesin-like protein (Fragment)	KIF5B	Homo sapiens (Human)	345
KIFAP3		Q92845	KIFA3_HUMAN	reviewed	Kinesin-associated protein 3 (KAP-3) (KAP3) (Smg GDS-associated protein)	KIFAP3 KIF3AP SMAP	Homo sapiens (Human)	792
KLC1		B5BU63	B5BU63_HUMAN	unreviewed	Kinesin light chain 1	KLC1	Homo sapiens (Human)	569
KLC1		F8W6L3	F8W6L3_HUMAN	unreviewed	Kinesin light chain 1	KLC1	Homo sapiens (Human)	576
KLC1		G3V2E7	G3V2E7_HUMAN	unreviewed	Kinesin light chain 1	KLC1	Homo sapiens (Human)	551
KLC1		G3V2P7	G3V2P7_HUMAN	unreviewed	Kinesin light chain 1 (Fragment)	KLC1	Homo sapiens (Human)	150
KLC1		G3V3H3	G3V3H3_HUMAN	unreviewed	Kinesin light chain 1	KLC1	Homo sapiens (Human)	609
KLC1		G3V5R9	G3V5R9_HUMAN	unreviewed	Kinesin light chain 1	KLC1	Homo sapiens (Human)	630
KLC1		G5E9S8	G5E9S8_HUMAN	unreviewed	Kinesin light chain 1	KLC1	Homo sapiens (Human)	549
KLC1		H0YG16	H0YG16_HUMAN	unreviewed	Kinesin light chain 1 (Fragment)	KLC1	Homo sapiens (Human)	268
KLC1		H0YGB8	H0YGB8_HUMAN	unreviewed	Kinesin light chain 1 (Fragment)	KLC1	Homo sapiens (Human)	60
KLC1		H0YJK1	H0YJK1_HUMAN	unreviewed	Kinesin light chain 1 (Fragment)	KLC1	Homo sapiens (Human)	44
KLC1		H0YJL0	H0YJL0_HUMAN	unreviewed	Kinesin light chain 1 (Fragment)	KLC1	Homo sapiens (Human)	150
KLC1		H0YJT3	H0YJT3_HUMAN	unreviewed	Kinesin light chain 1 (Fragment)	KLC1	Homo sapiens (Human)	161
KLC1		H0YJU9	H0YJU9_HUMAN	unreviewed	Kinesin light chain 1 (Fragment)	KLC1	Homo sapiens (Human)	131
KLC1		Q07866	KLC1_HUMAN	reviewed	Kinesin light chain 1 (KLC 1)	KLC1 KLC KNS2	Homo sapiens (Human)	573
KNTC1		E7ES84	E7ES84_HUMAN	unreviewed	Kinetochore-associated protein 1	KNTC1	Homo sapiens (Human)	1134
KNTC1		F5H5V0	F5H5V0_HUMAN	unreviewed	Kinetochore-associated protein 1	KNTC1	Homo sapiens (Human)	130
KNTC1		H0YFL5	H0YFL5_HUMAN	unreviewed	Kinetochore-associated protein 1 (Fragment)	KNTC1	Homo sapiens (Human)	208
KNTC1		J3KQF2	J3KQF2_HUMAN	unreviewed	Kinetochore-associated protein 1 (Fragment)	KNTC1	Homo sapiens (Human)	104
KNTC1		P50748	KNTC1_HUMAN	reviewed	Kinetochore-associated protein 1 (Rough deal homolog) (HsROD) (Rod) (hRod)	KNTC1 KIAA0166	Homo sapiens (Human)	2209
KPTN		M0QXX4	M0QXX4_HUMAN	unreviewed	Kaptin (Fragment)	KPTN	Homo sapiens (Human)	263
KPTN		M0QZ83	M0QZ83_HUMAN	unreviewed	Kaptin	KPTN	Homo sapiens (Human)	150
KPTN		M0R238	M0R238_HUMAN	unreviewed	Kaptin (Fragment)	KPTN	Homo sapiens (Human)	42
KPTN		Q9Y664	KPTN_HUMAN	reviewed	Kaptin (Actin-associated protein 2E4)	KPTN	Homo sapiens (Human)	436
LATS1		H0YG09	H0YG09_HUMAN	unreviewed	Serine/threonine-protein kinase LATS1 (Fragment)	LATS1	Homo sapiens (Human)	200
LATS1		O95835	LATS1_HUMAN	reviewed	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	LATS1 WARTS	Homo sapiens (Human)	1130
LATS1		Q6PJG3	Q6PJG3_HUMAN	unreviewed	LATS1 protein (Serine/threonine-protein kinase LATS1)	LATS1	Homo sapiens (Human)	135
LLGL1		A0A087WW77	A0A087WW77_HUMAN	unreviewed	Lethal(2) giant larvae protein homolog 1	LLGL1	Homo sapiens (Human)	1056
LLGL1		A0PJG1	A0PJG1_HUMAN	unreviewed	LLGL1 protein (Fragment)	LLGL1	Homo sapiens (Human)	467
LLGL1		Q15334	L2GL1_HUMAN	reviewed	Lethal(2) giant larvae protein homolog 1 (LLGL) (DLG4) (Hugl-1) (Human homolog to the D-lgl gene protein)	LLGL1 DLG4 HUGL HUGL1	Homo sapiens (Human)	1064
LMNB1		A0A0D9SFE5	A0A0D9SFE5_HUMAN	unreviewed	Lamin B1, isoform CRA_a (Lamin-B1)	LMNB1 hCG_27033	Homo sapiens (Human)	329
LMNB1		A0A0D9SFY5	A0A0D9SFY5_HUMAN	unreviewed	Lamin-B1 (Fragment)	LMNB1	Homo sapiens (Human)	166
LMNB1		E9PBF6	E9PBF6_HUMAN	unreviewed	Lamin-B1	LMNB1	Homo sapiens (Human)	387
LMNB1		L0R6K0	L0R6K0_HUMAN	unreviewed	Alternative protein LMNB1	LMNB1	Homo sapiens (Human)	43
LMNB1		P20700	LMNB1_HUMAN	reviewed	Lamin-B1	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586
LMNB1		Q6DC98	Q6DC98_HUMAN	unreviewed	LMNB1 protein (Fragment)	LMNB1	Homo sapiens (Human)	333
LRPPRC		A0A0C4DG06	A0A0C4DG06_HUMAN	unreviewed	Leucine-rich PPR motif-containing protein, mitochondrial	LRPPRC	Homo sapiens (Human)	531
LRPPRC		B8ZZ38	B8ZZ38_HUMAN	unreviewed	Leucine-rich PPR motif-containing protein, mitochondrial	LRPPRC	Homo sapiens (Human)	504
LRPPRC		C9JCA9	C9JCA9_HUMAN	unreviewed	Leucine-rich PPR motif-containing protein, mitochondrial (Fragment)	LRPPRC	Homo sapiens (Human)	359
LRPPRC		E5KNY5	E5KNY5_HUMAN	unreviewed	Leucine-rich PPR-motif containing (Mitochondrial leucine-rich PPR motif-containing protein)	LRPPRC hCG_16810	Homo sapiens (Human)	1394
LRPPRC		H7C3W8	H7C3W8_HUMAN	unreviewed	Leucine-rich PPR motif-containing protein, mitochondrial (Fragment)	LRPPRC	Homo sapiens (Human)	77
LRPPRC		P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	1394
MAP1S		M0QX37	M0QX37_HUMAN	unreviewed	Microtubule-associated protein 1S	MAP1S	Homo sapiens (Human)	81
MAP1S		M0QXE8	M0QXE8_HUMAN	unreviewed	Microtubule-associated protein 1S	MAP1S	Homo sapiens (Human)	82
MAP1S		M0QXK6	M0QXK6_HUMAN	unreviewed	Microtubule-associated protein 1S	MAP1S	Homo sapiens (Human)	79
MAP1S		M0QXQ9	M0QXQ9_HUMAN	unreviewed	Microtubule-associated protein 1S (Fragment)	MAP1S	Homo sapiens (Human)	185
MAP1S		M0QY41	M0QY41_HUMAN	unreviewed	Microtubule-associated protein 1S (Fragment)	MAP1S	Homo sapiens (Human)	189
MAP1S		M0QYI5	M0QYI5_HUMAN	unreviewed	Microtubule-associated protein 1S	MAP1S	Homo sapiens (Human)	67
MAP1S		M0QZ50	M0QZ50_HUMAN	unreviewed	Microtubule-associated protein 1S	MAP1S	Homo sapiens (Human)	93
MAP1S		M0R1J2	M0R1J2_HUMAN	unreviewed	Microtubule-associated protein 1S (Fragment)	MAP1S	Homo sapiens (Human)	188
MAP1S		M0R1M7	M0R1M7_HUMAN	unreviewed	Microtubule-associated protein 1S (Fragment)	MAP1S	Homo sapiens (Human)	120
MAP1S		Q66K74	MAP1S_HUMAN	reviewed	Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain]	MAP1S BPY2IP1 C19orf5 MAP8 VCY2IP1	Homo sapiens (Human)	1059
MAP3K11		A0A024R5E6	A0A024R5E6_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 11, isoform CRA_a	MAP3K11 hCG_23276	Homo sapiens (Human)	847
MAP3K11		A0A139ZZA2	A0A139ZZA2_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 11 (Fragment)	MAP3K11	Homo sapiens (Human)	42
MAP3K11		E9PID4	E9PID4_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 11	MAP3K11	Homo sapiens (Human)	263
MAP3K11		E9PLB1	E9PLB1_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 11 (Fragment)	MAP3K11	Homo sapiens (Human)	96
MAP3K11		E9PRQ2	E9PRQ2_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 11 (Fragment)	MAP3K11	Homo sapiens (Human)	111
MAP3K11		H0YCF5	H0YCF5_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 11 (Fragment)	MAP3K11	Homo sapiens (Human)	215
MAP3K11		Q16584	M3K11_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)	MAP3K11 MLK3 PTK1 SPRK	Homo sapiens (Human)	847
MAPRE1		A2VCR0	A2VCR0_HUMAN	unreviewed	MAPRE1 protein (Fragment)	MAPRE1	Homo sapiens (Human)	173
MAPRE1		Q15691	MARE1_HUMAN	reviewed	Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	MAPRE1	Homo sapiens (Human)	268
MARCKS		P29966	MARCS_HUMAN	reviewed	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)	MARCKS MACS PRKCSL	Homo sapiens (Human)	332
MARCKS		Q05C82	Q05C82_HUMAN	unreviewed	MARCKS protein (Fragment)	MARCKS	Homo sapiens (Human)	47
MARCKS		Q6NVI1	Q6NVI1_HUMAN	unreviewed	MARCKS protein (Fragment)	MARCKS	Homo sapiens (Human)	157
MARK4		K7EK17	K7EK17_HUMAN	unreviewed	MAP/microtubule affinity-regulating kinase 4 (Fragment)	MARK4	Homo sapiens (Human)	62
MARK4		K7EKG8	K7EKG8_HUMAN	unreviewed	MAP/microtubule affinity-regulating kinase 4 (Fragment)	MARK4	Homo sapiens (Human)	74
MARK4		K7EN95	K7EN95_HUMAN	unreviewed	MAP/microtubule affinity-regulating kinase 4 (Fragment)	MARK4	Homo sapiens (Human)	48
MARK4		Q6IPE9	Q6IPE9_HUMAN	unreviewed	MAP/microtubule affinity-regulating kinase 4 (MARK4 protein)	MARK4	Homo sapiens (Human)	97
MARK4		Q96GZ3	Q96GZ3_HUMAN	unreviewed	MAP/microtubule affinity-regulating kinase 4 (MARK4 protein)	MARK4	Homo sapiens (Human)	79
MARK4		Q96L34	MARK4_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	MARK4 KIAA1860 MARKL1	Homo sapiens (Human)	752
MID1		A0A024RBV4	A0A024RBV4_HUMAN	unreviewed	Midline 1 (Opitz/BBB syndrome), isoform CRA_a	MID1 hCG_1811944	Homo sapiens (Human)	667
MID1		A0A087X0X0	A0A087X0X0_HUMAN	unreviewed	E3 ubiquitin-protein ligase Midline-1	MID1	Homo sapiens (Human)	228
MID1		A0A087X255	A0A087X255_HUMAN	unreviewed	E3 ubiquitin-protein ligase Midline-1	MID1	Homo sapiens (Human)	540
MID1		C9J453	C9J453_HUMAN	unreviewed	E3 ubiquitin-protein ligase Midline-1 (Fragment)	MID1	Homo sapiens (Human)	483
MID1		C9JZJ7	C9JZJ7_HUMAN	unreviewed	E3 ubiquitin-protein ligase Midline-1 (Fragment)	MID1	Homo sapiens (Human)	197
MID1		O15344	TRI18_HUMAN	reviewed	E3 ubiquitin-protein ligase Midline-1 (EC 2.3.2.27) (Midin) (Putative transcription factor XPRF) (RING finger protein 59) (RING finger protein Midline-1) (RING-type E3 ubiquitin transferase Midline-1) (Tripartite motif-containing protein 18)	MID1 FXY RNF59 TRIM18 XPRF	Homo sapiens (Human)	667
MID1		P29372	3MG_HUMAN	reviewed	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)	MPG AAG ANPG MID1	Homo sapiens (Human)	298
MID1IP1		Q9NPA3	M1IP1_HUMAN	reviewed	Mid1-interacting protein 1 (Gastrulation-specific G12-like protein) (Mid1-interacting G12-like protein) (Protein STRAIT11499) (Spot 14-related protein) (S14R) (Spot 14-R)	MID1IP1 MIG12	Homo sapiens (Human)	183
MYH10		A5XEH4	A5XEH4_HUMAN	unreviewed	Nonmuscle myosin heavy chain 10 (Fragment)	MYH10	Homo sapiens (Human)	82
MYH10		E7ERA5	E7ERA5_HUMAN	unreviewed	Myosin-10 (Fragment)	MYH10	Homo sapiens (Human)	187
MYH10		G1UI33	G1UI33_HUMAN	unreviewed	Myosin-10 (Fragment)	MYH10	Homo sapiens (Human)	180
MYH10		P35580	MYH10_HUMAN	reviewed	Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)	MYH10	Homo sapiens (Human)	1976
MYH9		A0A024R1N1	A0A024R1N1_HUMAN	unreviewed	Myosin, heavy polypeptide 9, non-muscle, isoform CRA_a	MYH9 hCG_41454	Homo sapiens (Human)	1960
MYH9		A0A0U4BW16	A0A0U4BW16_HUMAN	unreviewed	Non-muscle myosin heavy chain 9	MYH9	Homo sapiens (Human)	1963
MYH9		B1AH99	B1AH99_HUMAN	unreviewed	Myosin-9 (Fragment)	MYH9	Homo sapiens (Human)	103
MYH9		P35579	MYH9_HUMAN	reviewed	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	MYH9	Homo sapiens (Human)	1960
MYH9		Q2PS10	Q2PS10_HUMAN	unreviewed	Non-muscle myosin heavy chain (Fragment)	MYH9	Homo sapiens (Human)	71
MYH9		Q5BKV1	Q5BKV1_HUMAN	unreviewed	MYH9 protein (Myosin-9)	MYH9	Homo sapiens (Human)	218
MYH9		Q86XU5	Q86XU5_HUMAN	unreviewed	MYH9 protein (Fragment)	MYH9	Homo sapiens (Human)	1374
MYO1E		H0YLE5	H0YLE5_HUMAN	unreviewed	Unconventional myosin-Ie (Fragment)	MYO1E	Homo sapiens (Human)	187
MYO1E		H0YLJ4	H0YLJ4_HUMAN	unreviewed	Unconventional myosin-Ie (Fragment)	MYO1E	Homo sapiens (Human)	276
MYO1E		H0YN00	H0YN00_HUMAN	unreviewed	Unconventional myosin-Ie	MYO1E	Homo sapiens (Human)	112
MYO1E		H0YNB0	H0YNB0_HUMAN	unreviewed	Unconventional myosin-Ie (Fragment)	MYO1E	Homo sapiens (Human)	73
MYO1E		H0YNQ8	H0YNQ8_HUMAN	unreviewed	Unconventional myosin-Ie (Fragment)	MYO1E	Homo sapiens (Human)	317
MYO1E		Q12965	MYO1E_HUMAN	reviewed	Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E)	MYO1E MYO1C	Homo sapiens (Human)	1108
MYO1E		Q4KMR3	Q4KMR3_HUMAN	unreviewed	MYO1E variant protein (Myosin IE) (cDNA FLJ76307, highly similar to Homo sapiens myosin IE (MYO1E), mRNA)	MYO1E hCG_38672	Homo sapiens (Human)	1108
MYO9B		M0QXP0	M0QXP0_HUMAN	unreviewed	Unconventional myosin-IXb (Fragment)	MYO9B	Homo sapiens (Human)	195
MYO9B		M0QXX1	M0QXX1_HUMAN	unreviewed	Unconventional myosin-IXb (Fragment)	MYO9B	Homo sapiens (Human)	59
MYO9B		M0QZY4	M0QZY4_HUMAN	unreviewed	Unconventional myosin-IXb (Fragment)	MYO9B	Homo sapiens (Human)	154
MYO9B		M0R0P8	M0R0P8_HUMAN	unreviewed	Unconventional myosin-IXb	MYO9B	Homo sapiens (Human)	2157
MYO9B		M0R240	M0R240_HUMAN	unreviewed	Unconventional myosin-IXb (Fragment)	MYO9B	Homo sapiens (Human)	174
MYO9B		M0R2J3	M0R2J3_HUMAN	unreviewed	Unconventional myosin-IXb (Fragment)	MYO9B	Homo sapiens (Human)	174
MYO9B		M0R300	M0R300_HUMAN	unreviewed	Unconventional myosin-IXb (Fragment)	MYO9B	Homo sapiens (Human)	2071
MYO9B		M0R332	M0R332_HUMAN	unreviewed	Unconventional myosin-IXb (Fragment)	MYO9B	Homo sapiens (Human)	195
MYO9B		Q13459	MYO9B_HUMAN	reviewed	Unconventional myosin-IXb (Unconventional myosin-9b)	MYO9B MYR5	Homo sapiens (Human)	2157
MYO9B		Q8WVD2	Q8WVD2_HUMAN	unreviewed	MYO9B protein (Fragment)	MYO9B	Homo sapiens (Human)	501
NCK1		A0A0S2Z4D7	A0A0S2Z4D7_HUMAN	unreviewed	NCK adaptor protein 1 isoform 2 (NCK adaptor protein 1, isoform CRA_b)	NCK1 hCG_2039389	Homo sapiens (Human)	170
NCK1		A0A0S2Z4E4	A0A0S2Z4E4_HUMAN	unreviewed	NCK adaptor protein 1 isoform 3 (Fragment)	NCK1	Homo sapiens (Human)	244
NCK1		A0A0S2Z4Y3	A0A0S2Z4Y3_HUMAN	unreviewed	NCK adaptor protein 1 isoform 1 (Fragment)	NCK1	Homo sapiens (Human)	377
NCK1		C9J0K5	C9J0K5_HUMAN	unreviewed	Cytoplasmic protein NCK1 (Fragment)	NCK1	Homo sapiens (Human)	75
NCK1		C9J869	C9J869_HUMAN	unreviewed	Cytoplasmic protein NCK1 (Fragment)	NCK1	Homo sapiens (Human)	162
NCK1		C9JAB9	C9JAB9_HUMAN	unreviewed	Cytoplasmic protein NCK1 (Fragment)	NCK1	Homo sapiens (Human)	174
NCK1		C9JVV5	C9JVV5_HUMAN	unreviewed	Cytoplasmic protein NCK1 (Fragment)	NCK1	Homo sapiens (Human)	129
