yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	Entry	Entry name		Protein names	Gene names	Organism	Length
DDIT4		A0A024QZQ6	A0A024QZQ6_HUMAN	unreviewed	DNA-damage-inducible transcript 4, isoform CRA_a	DDIT4 hCG_2024489	Homo sapiens (Human)	232
DDIT4		Q9NX09	DDIT4_HUMAN	reviewed	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	DDIT4 REDD1 RTP801	Homo sapiens (Human)	232
DEPDC1		E9PL61	E9PL61_HUMAN	unreviewed	DEP domain-containing protein 1A (Fragment)	DEPDC1	Homo sapiens (Human)	34
DEPDC1		H0YES2	H0YES2_HUMAN	unreviewed	DEP domain-containing protein 1A (Fragment)	DEPDC1	Homo sapiens (Human)	308
DEPDC1		Q5TB30	DEP1A_HUMAN	reviewed	DEP domain-containing protein 1A	DEPDC1 DEPDC1A	Homo sapiens (Human)	811
DLD		A0A024R713	A0A024R713_HUMAN	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	DLD hCG_17110	Homo sapiens (Human)	509
DLD		E9PEX6	E9PEX6_HUMAN	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	DLD	Homo sapiens (Human)	486
DLD		F2Z2E3	F2Z2E3_HUMAN	unreviewed	Dihydrolipoyl dehydrogenase, mitochondrial	DLD	Homo sapiens (Human)	115
DLD		F8WDM5	F8WDM5_HUMAN	unreviewed	Dihydrolipoyl dehydrogenase, mitochondrial	DLD	Homo sapiens (Human)	114
DLD		F8WDY5	F8WDY5_HUMAN	unreviewed	Dihydrolipoyl dehydrogenase, mitochondrial	DLD	Homo sapiens (Human)	58
DLD		P09622	DLDH_HUMAN	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)	DLD GCSL LAD PHE3	Homo sapiens (Human)	509
DPYSL4		D3DRG7	D3DRG7_HUMAN	unreviewed	Dihydropyrimidinase-like 4, isoform CRA_a	DPYSL4 hCG_2023178	Homo sapiens (Human)	509
DPYSL4		O14531	DPYL4_HUMAN	reviewed	Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4)	DPYSL4 CRMP3 ULIP4	Homo sapiens (Human)	572
DPYSL4		Q5T0Q6	Q5T0Q6_HUMAN	unreviewed	Dihydropyrimidinase-related protein 4	DPYSL4	Homo sapiens (Human)	412
DSC2		A9X9K9	A9X9K9_HUMAN	unreviewed	Desmocollin 2	DSC2	Homo sapiens (Human)	901
DSC2		A9X9L0	A9X9L0_HUMAN	unreviewed	Desmocollin 2	DSC2	Homo sapiens (Human)	901
DSC2		A9X9L1	A9X9L1_HUMAN	unreviewed	Desmocollin 2 (Fragment)	DSC2	Homo sapiens (Human)	100
DSC2		Q02487	DSC2_HUMAN	reviewed	Desmocollin-2 (Cadherin family member 2) (Desmocollin-3) (Desmosomal glycoprotein II) (Desmosomal glycoprotein III)	DSC2 CDHF2 DSC3	Homo sapiens (Human)	901
ECD		C9J316	C9J316_HUMAN	unreviewed	Protein ecdysoneless homolog (Fragment)	ECD	Homo sapiens (Human)	212
ECD		C9JGV1	C9JGV1_HUMAN	unreviewed	Protein ecdysoneless homolog (Fragment)	ECD	Homo sapiens (Human)	217
ECD		F2Z2R1	F2Z2R1_HUMAN	unreviewed	Protein ecdysoneless homolog	ECD	Homo sapiens (Human)	163
ECD		O95905	ECD_HUMAN	reviewed	Protein ecdysoneless homolog (Human suppressor of GCR two) (hSGT1)	ECD	Homo sapiens (Human)	644
ECD		S4R458	S4R458_HUMAN	unreviewed	Protein ecdysoneless homolog (Fragment)	ECD	Homo sapiens (Human)	87
EFNA3		P52797	EFNA3_HUMAN	reviewed	Ephrin-A3 (EFL-2) (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3)	EFNA3 EFL2 EPLG3 LERK3	Homo sapiens (Human)	238
EGFR		A0A068JCC9	A0A068JCC9_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	33
EGFR		A0A068JD88	A0A068JD88_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	52
EGFR		A2VCQ7	A2VCQ7_HUMAN	unreviewed	EGFR protein (Fragment)	EGFR	Homo sapiens (Human)	388
EGFR		A7VMV4	A7VMV4_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	25
EGFR		A7VN05	A7VN05_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	29
EGFR		A7VN06	A7VN06_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	28
EGFR		A7VN07	A7VN07_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	27
EGFR		B6RC65	B6RC65_HUMAN	unreviewed	Epidermal growth factor receptor variant EX12_14del (Fragment)	EGFR	Homo sapiens (Human)	137
EGFR		B6RC66	B6RC66_HUMAN	unreviewed	Epidermal growth factor receptor variant EX12_15del (Fragment)	EGFR	Homo sapiens (Human)	85
EGFR		C9JYS6	C9JYS6_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	128
EGFR		E2I6F5	E2I6F5_HUMAN	unreviewed	Epidermal growth factor receptor variant (EC 2.7.10.1) (Fragment)	EGFR	Homo sapiens (Human)	80
EGFR		E7BSV0	E7BSV0_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1136
EGFR		E9PFD7	E9PFD7_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1165
EGFR		F1JTL6	F1JTL6_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	136
EGFR		G9MC26	G9MC26_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	64
EGFR		G9MC81	G9MC81_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	28
EGFR		I3WA68	I3WA68_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	191
EGFR		I3WA72	I3WA72_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	188
EGFR		I3WA73	I3WA73_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	183
EGFR		L0R6G1	L0R6G1_HUMAN	unreviewed	Alternative protein EGFR	EGFR	Homo sapiens (Human)	49
EGFR		P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
EGFR		Q147T7	Q147T7_HUMAN	unreviewed	EGFR protein	EGFR	Homo sapiens (Human)	464
EGFR		Q30BI0	Q30BI0_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	33
EGFR		Q4H1F3	Q4H1F3_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	28
EGFR		Q504U8	Q504U8_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1091
EGFR		Q68GS6	Q68GS6_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	645
EGFR		Q75MF2	Q75MF2_HUMAN	unreviewed	Putative uncharacterized protein EGFR (Fragment)	EGFR	Homo sapiens (Human)	387
EGFR		Q8NDU8	Q8NDU8_HUMAN	unreviewed	Epidermal growth factor	EGFR	Homo sapiens (Human)	71
EGFR		Q8WZA5	Q8WZA5_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	27
EGFR		Q9H3C8	Q9H3C8_HUMAN	unreviewed	Truncated epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	131
EGFR		Q9H3D0	Q9H3D0_HUMAN	unreviewed	A431-specific truncated epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	70
EGLN3		A6XP73	A6XP73_HUMAN	unreviewed	Egl nine-like protein 3 isoform (Fragment)	EGLN3	Homo sapiens (Human)	147
EGLN3		F8VR39	F8VR39_HUMAN	unreviewed	Egl nine homolog 3	EGLN3	Homo sapiens (Human)	148
EGLN3		F8W1G2	F8W1G2_HUMAN	unreviewed	Egl nine homolog 3	EGLN3	Homo sapiens (Human)	145
EGLN3		G3V3M1	G3V3M1_HUMAN	unreviewed	Egl nine homolog 3 (Fragment)	EGLN3	Homo sapiens (Human)	79
EGLN3		Q3T1B0	Q3T1B0_HUMAN	unreviewed	EGLN3 protein	EGLN3	Homo sapiens (Human)	119
EGLN3		Q9H6Z9	EGLN3_HUMAN	reviewed	Egl nine homolog 3 (EC 1.14.11.29) (HPH-1) (Hypoxia-inducible factor prolyl hydroxylase 3) (HIF-PH3) (HIF-prolyl hydroxylase 3) (HPH-3) (Prolyl hydroxylase domain-containing protein 3) (PHD3)	EGLN3	Homo sapiens (Human)	239
ELF3		A0A024R974	A0A024R974_HUMAN	unreviewed	E74-like factor 3 (Ets domain transcription factor, epithelial-specific ), isoform CRA_b	ELF3 hCG_96709	Homo sapiens (Human)	371
ELF3		P78545	ELF3_HUMAN	reviewed	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	ELF3 ERT ESX JEN	Homo sapiens (Human)	371
ELF3		Q5SR36	Q5SR36_HUMAN	unreviewed	ETS-related transcription factor Elf-3 (Fragment)	ELF3	Homo sapiens (Human)	232
ENO1		A0A024R4F1	A0A024R4F1_HUMAN	unreviewed	Enolase 1, (Alpha), isoform CRA_a (Epididymis secretory protein Li 17)	ENO1 HEL-S-17 hCG_22399	Homo sapiens (Human)	434
ENO1		A4QMW8	A4QMW8_HUMAN	unreviewed	ENO1 protein (Fragment)	ENO1	Homo sapiens (Human)	135
ENO1		K7EM90	K7EM90_HUMAN	unreviewed	Alpha-enolase (Fragment)	ENO1	Homo sapiens (Human)	195
ENO1		K7ERS8	K7ERS8_HUMAN	unreviewed	Alpha-enolase (Fragment)	ENO1	Homo sapiens (Human)	17
ENO1		P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
ENO2		F5H0C8	F5H0C8_HUMAN	unreviewed	Gamma-enolase	ENO2	Homo sapiens (Human)	315
ENO2		F5H1C3	F5H1C3_HUMAN	unreviewed	Gamma-enolase (Fragment)	ENO2	Homo sapiens (Human)	103
ENO2		P09104	ENOG_HUMAN	reviewed	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	ENO2	Homo sapiens (Human)	434
ENO2		Q6FHV6	Q6FHV6_HUMAN	unreviewed	ENO2 protein (Enolase 2 (Gamma, neuronal), isoform CRA_a) (Epididymis secretory protein Li 279) (cDNA FLJ42665 fis, clone BRAMY2019989, highly similar to Gamma-enolase (EC 4.2.1.11)) (cDNA, FLJ92734, Homo sapiens enolase 2, (gamma, neuronal) (ENO2), mRNA)	ENO2 HEL-S-279 hCG_25937	Homo sapiens (Human)	434
ENO2		U3KQP4	U3KQP4_HUMAN	unreviewed	Gamma-enolase (Fragment)	ENO2	Homo sapiens (Human)	73
ENO2		U3KQQ1	U3KQQ1_HUMAN	unreviewed	Gamma-enolase (Fragment)	ENO2	Homo sapiens (Human)	86
ERO1L		Q96HE7	ERO1A_HUMAN	reviewed	ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic oxidoreductin-1-like protein) (Endoplasmic reticulum oxidoreductase alpha) (Oxidoreductin-1-L-alpha)	ERO1A ERO1L UNQ434/PRO865	Homo sapiens (Human)	468
EXT1		D7RTA7	D7RTA7_HUMAN	unreviewed	Multiple exostoses 1 (Fragment)	EXT1	Homo sapiens (Human)	320
EXT1		F8WF54	F8WF54_HUMAN	unreviewed	Exostosin-1	EXT1	Homo sapiens (Human)	41
EXT1		H7C1H6	H7C1H6_HUMAN	unreviewed	Exostosin-1 (Fragment)	EXT1	Homo sapiens (Human)	207
EXT1		Q16394	EXT1_HUMAN	reviewed	Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1)	EXT1	Homo sapiens (Human)	746
EXT1		S5Y321	S5Y321_HUMAN	unreviewed	Exostosin (EC 2.4.1.224) (Fragment)	EXT1	Homo sapiens (Human)	31
EXT1		T2FFJ4	T2FFJ4_HUMAN	unreviewed	Exostosin glycosyltransferase 1 (EC 2.4.1.224) (Fragment)	EXT1	Homo sapiens (Human)	35
EXT1		V5QSK8	V5QSK8_HUMAN	unreviewed	Exostosin (EC 2.4.1.224) (Fragment)	EXT1	Homo sapiens (Human)	39
EXT2		D3DR24	D3DR24_HUMAN	unreviewed	Exostoses (Multiple) 2, isoform CRA_a	EXT2 hCG_1811183	Homo sapiens (Human)	731
EXT2		E9PJA5	E9PJA5_HUMAN	unreviewed	Exostosin-2 (Fragment)	EXT2	Homo sapiens (Human)	49
EXT2		E9PNL9	E9PNL9_HUMAN	unreviewed	Exostosin-2 (Fragment)	EXT2	Homo sapiens (Human)	112
EXT2		Q6NUL1	Q6NUL1_HUMAN	unreviewed	Exostoses (Multiple) 2	EXT2	Homo sapiens (Human)	718
EXT2		Q93063	EXT2_HUMAN	reviewed	Exostosin-2 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 2) (Putative tumor suppressor protein EXT2)	EXT2	Homo sapiens (Human)	718
FAM162A		E9PH05	E9PH05_HUMAN	unreviewed	Protein FAM162A	FAM162A	Homo sapiens (Human)	141
FAM162A		F8W7Q4	F8W7Q4_HUMAN	unreviewed	Protein FAM162A	FAM162A	Homo sapiens (Human)	144
FAM162A		Q96A26	F162A_HUMAN	reviewed	Protein FAM162A (E2-induced gene 5 protein) (Growth and transformation-dependent protein) (HGTD-P)	FAM162A C3orf28 E2IG5 DC16 FWP001	Homo sapiens (Human)	154
FBP2		O00757	F16P2_HUMAN	reviewed	Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)	FBP2	Homo sapiens (Human)	339
FBP2		Q63HM2	PCX4_HUMAN	reviewed	Pecanex-like protein 4 (Hepatitis C virus F protein-binding protein 2) (HCV F protein-binding protein 2) (Pecanex homolog protein 4)	PCNX4 C14orf135 FBP2 PCNXL4	Homo sapiens (Human)	1172
FBP2		Q9UJ73	Q9UJ73_HUMAN	unreviewed	Fructose-1,6-bisphosphatase (EC 3.1.3.11) (Fragment)	FBP2	Homo sapiens (Human)	13
FBP2		Q9UMQ9	Q9UMQ9_HUMAN	unreviewed	Fructose-1,6-bisphosphatase (EC 3.1.3.11) (Fragment)	FBP2	Homo sapiens (Human)	12
FBP2		Q9UMR0	Q9UMR0_HUMAN	unreviewed	Fructose-1,6-bisphosphatase (EC 3.1.3.11) (Fragment)	FBP2	Homo sapiens (Human)	12
FKBP4		A0A0F7G8H5	A0A0F7G8H5_HUMAN	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	FKBP4	Homo sapiens (Human)	349
FKBP4		F5H120	F5H120_HUMAN	unreviewed	Peptidyl-prolyl cis-trans isomerase FKBP4	FKBP4	Homo sapiens (Human)	51
FKBP4		F5H1U3	F5H1U3_HUMAN	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8) (Fragment)	FKBP4	Homo sapiens (Human)	86
FKBP4		H0YFG2	H0YFG2_HUMAN	unreviewed	Peptidyl-prolyl cis-trans isomerase FKBP4 (Fragment)	FKBP4	Homo sapiens (Human)	84
FKBP4		H0YG86	H0YG86_HUMAN	unreviewed	Peptidyl-prolyl cis-trans isomerase FKBP4 (Fragment)	FKBP4	Homo sapiens (Human)	23
FKBP4		Q02790	FKBP4_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52	Homo sapiens (Human)	459
FUT8		A5PLL2	A5PLL2_HUMAN	unreviewed	FUT8 protein	FUT8	Homo sapiens (Human)	308
FUT8		G3V443	G3V443_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (Fragment)	FUT8	Homo sapiens (Human)	15
FUT8		G3V4A8	G3V4A8_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (Fragment)	FUT8	Homo sapiens (Human)	40
FUT8		G3V509	G3V509_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (Fragment)	FUT8	Homo sapiens (Human)	50
FUT8		G3V530	G3V530_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (Fragment)	FUT8	Homo sapiens (Human)	46
FUT8		G3V5E3	G3V5E3_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (Fragment)	FUT8	Homo sapiens (Human)	44
FUT8		G3V5Z4	G3V5Z4_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (Fragment)	FUT8	Homo sapiens (Human)	29
FUT8		G3XAD2	G3XAD2_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (Fucosyltransferase 8 (Alpha (1,6) fucosyltransferase), isoform CRA_b)	FUT8 hCG_22125	Homo sapiens (Human)	446
FUT8		Q546E0	Q546E0_HUMAN	unreviewed	Alpha-(1,6)-fucosyltransferase (EC 2.4.1.68)	FUT8 hCG_22125	Homo sapiens (Human)	575
FUT8		Q9BYC5	FUT8_HUMAN	reviewed	Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (Fucosyltransferase 8) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)	FUT8	Homo sapiens (Human)	575
G6PD		A2IBT6	A2IBT6_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	51
G6PD		A7IZZ3	A7IZZ3_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase variant (Fragment)	G6PD	Homo sapiens (Human)	72
G6PD		B6ZHS6	B6ZHS6_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase variant (Fragment)	G6PD	Homo sapiens (Human)	52
G6PD		E7EM57	E7EM57_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	320
G6PD		E7EUI8	E7EUI8_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	338
G6PD		E9PD92	E9PD92_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	256
G6PD		P11413	G6PD_HUMAN	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	G6PD	Homo sapiens (Human)	515
G6PD		Q0PHS1	Q0PHS1_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	297
G6PD		Q0PHS2	Q0PHS2_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	49
G6PD		Q0PHS3	Q0PHS3_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	49
G6PD		Q0PHS4	Q0PHS4_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	60
G6PD		Q0PHS5	Q0PHS5_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	72
G6PD		Q0PHS6	Q0PHS6_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	42
G6PD		Q2Q9B7	Q2Q9B7_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	475
G6PD		Q2Q9H2	Q2Q9H2_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	475
G6PD		Q2VF42	Q2VF42_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	475
GAL3ST1		A0A024R1D7	A0A024R1D7_HUMAN	unreviewed	Galactose-3-O-sulfotransferase 1, isoform CRA_a	GAL3ST1 hCG_41294	Homo sapiens (Human)	423
GAL3ST1		C9J2M1	C9J2M1_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	143
GAL3ST1		C9J2X7	C9J2X7_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	170
GAL3ST1		C9J3S3	C9J3S3_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	163
GAL3ST1		C9J4I2	C9J4I2_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	100
GAL3ST1		C9J6M2	C9J6M2_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	242
GAL3ST1		C9J993	C9J993_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	149
GAL3ST1		C9JE31	C9JE31_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	265
GAL3ST1		C9JGL4	C9JGL4_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	279
GAL3ST1		C9JIS3	C9JIS3_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	71
GAL3ST1		C9JKD7	C9JKD7_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	98
GAL3ST1		C9JLB5	C9JLB5_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	102
GAL3ST1		C9JN55	C9JN55_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	85
GAL3ST1		C9JTV3	C9JTV3_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	112
GAL3ST1		C9JU54	C9JU54_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	95
GAL3ST1		C9JYD7	C9JYD7_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	199
GAL3ST1		C9K037	C9K037_HUMAN	unreviewed	Galactosylceramide sulfotransferase (Fragment)	GAL3ST1	Homo sapiens (Human)	75
GAL3ST1		Q99999	G3ST1_HUMAN	reviewed	Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase)	GAL3ST1 CST	Homo sapiens (Human)	423
GALE		A0A024RAB7	A0A024RAB7_HUMAN	unreviewed	UDP-galactose-4-epimerase, isoform CRA_b	GALE hCG_37681	Homo sapiens (Human)	239
GALE		Q14376	GALE_HUMAN	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	Homo sapiens (Human)	348
GALE		Q5QPP1	Q5QPP1_HUMAN	unreviewed	UDP-glucose 4-epimerase (Fragment)	GALE	Homo sapiens (Human)	194
GALE		Q5QPP3	Q5QPP3_HUMAN	unreviewed	UDP-glucose 4-epimerase (Fragment)	GALE	Homo sapiens (Human)	227
GALE		Q5QPP4	Q5QPP4_HUMAN	unreviewed	UDP-glucose 4-epimerase (Fragment)	GALE	Homo sapiens (Human)	239
GALE		Q5QPP9	Q5QPP9_HUMAN	unreviewed	UDP-glucose 4-epimerase (Fragment)	GALE	Homo sapiens (Human)	108
GALK1		E5LAN0	E5LAN0_HUMAN	unreviewed	Galactokinase 1 (EC 2.7.1.6) (Fragment)	GALK1	Homo sapiens (Human)	63
GALK1		K7EII7	K7EII7_HUMAN	unreviewed	Galactokinase (Fragment)	GALK1	Homo sapiens (Human)	184
GALK1		K7ERJ9	K7ERJ9_HUMAN	unreviewed	Galactokinase	GALK1	Homo sapiens (Human)	120
GALK1		K7ERN9	K7ERN9_HUMAN	unreviewed	Galactokinase (Fragment)	GALK1	Homo sapiens (Human)	91
GALK1		P51570	GALK1_HUMAN	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1 GALK	Homo sapiens (Human)	392
GALK1		Q71UH7	Q71UH7_HUMAN	unreviewed	Galactokinase (Fragment)	GALK1	Homo sapiens (Human)	264
GALK2		B7ZAX5	B7ZAX5_HUMAN	unreviewed	N-acetylgalactosamine kinase (cDNA, FLJ79339, highly similar to N-acetylgalactosamine kinase (EC 2.7.1.157))	GALK2	Homo sapiens (Human)	434
GALK2		H0YK10	H0YK10_HUMAN	unreviewed	N-acetylgalactosamine kinase (Fragment)	GALK2	Homo sapiens (Human)	209
GALK2		H0YK30	H0YK30_HUMAN	unreviewed	N-acetylgalactosamine kinase (Fragment)	GALK2	Homo sapiens (Human)	110
GALK2		H0YLF9	H0YLF9_HUMAN	unreviewed	N-acetylgalactosamine kinase	GALK2	Homo sapiens (Human)	41
GALK2		H0YLK3	H0YLK3_HUMAN	unreviewed	N-acetylgalactosamine kinase	GALK2	Homo sapiens (Human)	45
