yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	Entry	Entry name		Protein names	Gene names	Organism	Length
IRF1		Q6FHN8	Q6FHN8_HUMAN	unreviewed	IRF1 protein (Interferon regulatory factor 1) (Interferon regulatory factor-1) (cDNA, FLJ94683, Homo sapiens interferon regulatory factor 1 (IRF1), mRNA) (Fragment)	IRF1 hCG_24115	Homo sapiens (Human)	325
IRF1		R4GNI0	R4GNI0_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	118
IRF1		V9P8K4	V9P8K4_HUMAN	unreviewed	Interferon regulatory factor 1 isoform I4	IRF1	Homo sapiens (Human)	167
IRF1		V9P921	V9P921_HUMAN	unreviewed	Interferon regulatory factor 1 (Interferon regulatory factor 1 isoform d78)	IRF1	Homo sapiens (Human)	201
IRF9		H0YMB0	H0YMB0_HUMAN	unreviewed	Interferon regulatory factor 9	IRF9	Homo sapiens (Human)	353
IRF9		H0YMB6	H0YMB6_HUMAN	unreviewed	Interferon regulatory factor 9 (Fragment)	IRF9	Homo sapiens (Human)	178
IRF9		H0YNM9	H0YNM9_HUMAN	unreviewed	Interferon regulatory factor 9	IRF9	Homo sapiens (Human)	50
IRF9		H0YNP4	H0YNP4_HUMAN	unreviewed	Interferon regulatory factor 9 (Fragment)	IRF9	Homo sapiens (Human)	267
IRF9		H7BXP4	H7BXP4_HUMAN	unreviewed	Interferon regulatory factor 9 (Fragment)	IRF9	Homo sapiens (Human)	209
IRF9		Q00978	IRF9_HUMAN	reviewed	Interferon regulatory factor 9 (IRF-9) (IFN-alpha-responsive transcription factor subunit) (ISGF3 p48 subunit) (Interferon-stimulated gene factor 3 gamma) (ISGF-3 gamma) (Transcriptional regulator ISGF3 subunit gamma)	IRF9 ISGF3G	Homo sapiens (Human)	393
ITGA4		A0A023IP86	A0A023IP86_HUMAN	unreviewed	Integrin a4-subunit (Fragment)	ITGA4	Homo sapiens (Human)	31
ITGA4		A0A023IP88	A0A023IP88_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	55
ITGA4		A0A023IP90	A0A023IP90_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	31
ITGA4		A0A023IPA8	A0A023IPA8_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	27
ITGA4		A0A023IPA9	A0A023IPA9_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	23
ITGA4		A0A023IPH2	A0A023IPH2_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	34
ITGA4		A0A023IPH8	A0A023IPH8_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	66
ITGA4		A0A023IPI3	A0A023IPI3_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	43
ITGA4		A0A023IQA6	A0A023IQA6_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	11
ITGA4		A0A023IQJ3	A0A023IQJ3_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	28
ITGA4		A0A023IQJ5	A0A023IQJ5_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	24
ITGA4		A0A023IQK0	A0A023IQK0_HUMAN	unreviewed	Integrin a4 subunit (Fragment)	ITGA4	Homo sapiens (Human)	66
ITGA4		E7EP60	E7EP60_HUMAN	unreviewed	Integrin alpha-4 (Fragment)	ITGA4	Homo sapiens (Human)	614
ITGA4		P13612	ITA4_HUMAN	reviewed	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	ITGA4 CD49D	Homo sapiens (Human)	1032
ITGA4		Q13682	Q13682_HUMAN	unreviewed	Alpha-4 integrin (Fragment)	ITGA4	Homo sapiens (Human)	93
ITGA4		Q68EM9	Q68EM9_HUMAN	unreviewed	ITGA4 protein	ITGA4	Homo sapiens (Human)	277
ITGA4		Q6PJE7	Q6PJE7_HUMAN	unreviewed	ITGA4 protein (Fragment)	ITGA4	Homo sapiens (Human)	617
ITGB3		A7U833	A7U833_HUMAN	unreviewed	Platelet glycoprotein IIIa (Fragment)	ITGB3	Homo sapiens (Human)	65
ITGB3		F1C630	F1C630_HUMAN	unreviewed	Platelet glycoprotein IIIa (Fragment)	ITGB3	Homo sapiens (Human)	143
ITGB3		F1C632	F1C632_HUMAN	unreviewed	Platelet glycoprotein IIIa (Fragment)	ITGB3	Homo sapiens (Human)	33
ITGB3		F1C633	F1C633_HUMAN	unreviewed	Platelet glycoprotein IIIa (Fragment)	ITGB3	Homo sapiens (Human)	73
ITGB3		F1C634	F1C634_HUMAN	unreviewed	Platelet glycoprotein IIIa (Fragment)	ITGB3	Homo sapiens (Human)	73
ITGB3		F2X0U9	F2X0U9_HUMAN	unreviewed	Truncated CD61 (Fragment)	ITGB3	Homo sapiens (Human)	45
ITGB3		F2X0V0	F2X0V0_HUMAN	unreviewed	Truncated CD61 (Fragment)	ITGB3	Homo sapiens (Human)	23
ITGB3		I3L4X8	I3L4X8_HUMAN	unreviewed	Integrin beta	ITGB3	Homo sapiens (Human)	443
ITGB3		L7UUZ7	L7UUZ7_HUMAN	unreviewed	Integrin beta	ITGB3	Homo sapiens (Human)	788
ITGB3		L7UW06	L7UW06_HUMAN	unreviewed	Integrin beta	ITGB3	Homo sapiens (Human)	470
ITGB3		L7WKL1	L7WKL1_HUMAN	unreviewed	Platelet glycoprotein IIIa (Fragment)	ITGB3	Homo sapiens (Human)	33
ITGB3		P05106	ITB3_HUMAN	reviewed	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	ITGB3 GP3A	Homo sapiens (Human)	788
ITGB3		Q16157	Q16157_HUMAN	unreviewed	Integrin beta 3 (Integrin beta-3) (Fragment)	integrin beta 3 ITGB3	Homo sapiens (Human)	35
ITGB3		Q1PBM2	Q1PBM2_HUMAN	unreviewed	Platelet glycoprotein IIIa (Fragment)	ITGB3	Homo sapiens (Human)	65
JUN		P05412	JUN_HUMAN	reviewed	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	Homo sapiens (Human)	331
JUN		Q6FHK0	Q6FHK0_HUMAN	unreviewed	JUN protein (Fragment)	JUN	Homo sapiens (Human)	331
LEPR		A0A0U3T571	A0A0U3T571_HUMAN	unreviewed	Leptin receptor (Fragment)	LEPR	Homo sapiens (Human)	69
LEPR		A2RRQ4	A2RRQ4_HUMAN	unreviewed	LEPR protein (Leptin receptor)	LEPR	Homo sapiens (Human)	232
LEPR		O15243	OBRG_HUMAN	reviewed	Leptin receptor gene-related protein (Endospanin-1) (Leptin receptor overlapping transcript protein) (OB-R gene-related protein) (OB-RGRP)	LEPROT LEPR OBR	Homo sapiens (Human)	131
LEPR		P48357	LEPR_HUMAN	reviewed	Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)	LEPR DB OBR	Homo sapiens (Human)	1165
LEPR		Q4G138	Q4G138_HUMAN	unreviewed	LEPR protein (Fragment)	LEPR	Homo sapiens (Human)	659
LTB		Q06643	TNFC_HUMAN	reviewed	Lymphotoxin-beta (LT-beta) (Tumor necrosis factor C) (TNF-C) (Tumor necrosis factor ligand superfamily member 3)	LTB TNFC TNFSF3	Homo sapiens (Human)	244
LTB		Q5STB2	Q5STB2_HUMAN	unreviewed	LTB protein (Lymphotoxin beta) (Lymphotoxin beta (TNF superfamily, member 3)) (Lymphotoxin beta (TNF superfamily, member 3), isoform CRA_b)	LTB hCG_43683	Homo sapiens (Human)	244
LTBR		F5H1S5	F5H1S5_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 3	LTBR	Homo sapiens (Human)	74
LTBR		F5H2E7	F5H2E7_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 3	LTBR	Homo sapiens (Human)	292
LTBR		F5H627	F5H627_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 3	LTBR	Homo sapiens (Human)	148
LTBR		F5H6F8	F5H6F8_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 3 (Fragment)	LTBR	Homo sapiens (Human)	217
LTBR		P36941	TNR3_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 3 (Lymphotoxin-beta receptor) (Tumor necrosis factor C receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor receptor type III) (TNF-RIII) (TNFR-III)	LTBR D12S370 TNFCR TNFR3 TNFRSF3	Homo sapiens (Human)	435
LTBR		Q75UT6	Q75UT6_HUMAN	unreviewed	Lymphotoxin beta receptor (Fragment)	LTBR	Homo sapiens (Human)	32
MAP3K8		P41279	M3K8_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)	MAP3K8 COT ESTF	Homo sapiens (Human)	467
MAP3K8		Q5T853	Q5T853_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 8 (Fragment)	MAP3K8	Homo sapiens (Human)	223
MAP3K8		Q5T854	Q5T854_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 8	MAP3K8	Homo sapiens (Human)	132
MAP3K8		Q5T857	Q5T857_HUMAN	unreviewed	Mitogen-activated protein kinase kinase kinase 8 (Fragment)	MAP3K8	Homo sapiens (Human)	255
MAP3K8		Q6FG25	Q6FG25_HUMAN	unreviewed	MAP3K8 protein (Fragment)	MAP3K8	Homo sapiens (Human)	467
MYD88		A0A0A0MS70	A0A0A0MS70_HUMAN	unreviewed	Myeloid differentiation primary response protein MyD88	MYD88	Homo sapiens (Human)	309
MYD88		A0A0A0MSI9	A0A0A0MSI9_HUMAN	unreviewed	Myeloid differentiation primary response protein MyD88	MYD88	Homo sapiens (Human)	264
MYD88		A0A0A0MST0	A0A0A0MST0_HUMAN	unreviewed	Myeloid differentiation primary response protein MyD88	MYD88	Homo sapiens (Human)	317
MYD88		A0A192GP51	A0A192GP51_HUMAN	unreviewed	Myeloid differentiation primary response 88	MYD88	Homo sapiens (Human)	205
MYD88		A0A192GQD4	A0A192GQD4_HUMAN	unreviewed	Myeloid differentiation primary response 88 (Fragment)	MYD88	Homo sapiens (Human)	113
MYD88		A0A192GQL6	A0A192GQL6_HUMAN	unreviewed	Myeloid differentiation primary response 88 (Fragment)	MYD88	Homo sapiens (Human)	81
MYD88		A0A193CK37	A0A193CK37_HUMAN	unreviewed	Mutant myeloid differentiation primary response 88 (Fragment)	MYD88	Homo sapiens (Human)	67
MYD88		H0Y4G9	H0Y4G9_HUMAN	unreviewed	Myeloid differentiation primary response protein MyD88 (Fragment)	MYD88	Homo sapiens (Human)	316
MYD88		Q99836	MYD88_HUMAN	reviewed	Myeloid differentiation primary response protein MyD88	MYD88	Homo sapiens (Human)	296
OSMR		H0Y8W9	H0Y8W9_HUMAN	unreviewed	Oncostatin-M-specific receptor subunit beta (Fragment)	OSMR	Homo sapiens (Human)	35
OSMR		H0Y9E3	H0Y9E3_HUMAN	unreviewed	Oncostatin-M-specific receptor subunit beta (Fragment)	OSMR	Homo sapiens (Human)	188
OSMR		H0YAD1	H0YAD1_HUMAN	unreviewed	Oncostatin-M-specific receptor subunit beta (Fragment)	OSMR	Homo sapiens (Human)	62
OSMR		Q99650	OSMR_HUMAN	reviewed	Oncostatin-M-specific receptor subunit beta (Interleukin-31 receptor subunit beta) (IL-31 receptor subunit beta) (IL-31R subunit beta) (IL-31R-beta) (IL-31RB)	OSMR OSMRB	Homo sapiens (Human)	979
PDGFC		H0Y9N2	H0Y9N2_HUMAN	unreviewed	Platelet-derived growth factor C (Fragment)	PDGFC	Homo sapiens (Human)	53
PDGFC		J3KN71	J3KN71_HUMAN	unreviewed	Platelet-derived growth factor C	PDGFC	Homo sapiens (Human)	50
PDGFC		Q9NRA1	PDGFC_HUMAN	reviewed	Platelet-derived growth factor C (PDGF-C) (Fallotein) (Spinal cord-derived growth factor) (SCDGF) (VEGF-E) [Cleaved into: Platelet-derived growth factor C, latent form (PDGFC latent form); Platelet-derived growth factor C, receptor-binding form (PDGFC receptor-binding form)]	PDGFC SCDGF UNQ174/PRO200	Homo sapiens (Human)	345
PF4		P02776	PLF4_HUMAN	reviewed	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form]	PF4 CXCL4 SCYB4	Homo sapiens (Human)	101
PIK3R5		J3KRE9	J3KRE9_HUMAN	unreviewed	Phosphoinositide 3-kinase regulatory subunit 5 (Fragment)	PIK3R5	Homo sapiens (Human)	44
PIK3R5		J3KSW1	J3KSW1_HUMAN	unreviewed	Phosphoinositide 3-kinase regulatory subunit 5	PIK3R5	Homo sapiens (Human)	879
PIK3R5		J3KT66	J3KT66_HUMAN	unreviewed	Phosphoinositide 3-kinase regulatory subunit 5 (Fragment)	PIK3R5	Homo sapiens (Human)	93
PIK3R5		L7RT34	L7RT34_HUMAN	unreviewed	Phosphoinositide-3-kinase, regulatory subunit 5	PIK3R5	Homo sapiens (Human)	880
PIK3R5		Q8WYR1	PI3R5_HUMAN	reviewed	Phosphoinositide 3-kinase regulatory subunit 5 (PI3-kinase regulatory subunit 5) (PI3-kinase p101 subunit) (Phosphatidylinositol 4,5-bisphosphate 3-kinase regulatory subunit) (PtdIns-3-kinase regulatory subunit) (Protein FOAP-2) (PtdIns-3-kinase p101) (p101-PI3K)	PIK3R5	Homo sapiens (Human)	880
PIK3R5		X6R3K3	X6R3K3_HUMAN	unreviewed	Phosphoinositide 3-kinase regulatory subunit 5	PIK3R5	Homo sapiens (Human)	211
PIM1		A0A024RD25	A0A024RD25_HUMAN	unreviewed	Pim-1 oncogene, isoform CRA_a	PIM1 hCG_33220	Homo sapiens (Human)	313
PIM1		P11309	PIM1_HUMAN	reviewed	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	PIM1	Homo sapiens (Human)	404
PLA2G2A		A0A024RA96	A0A024RA96_HUMAN	unreviewed	Phospholipase A(2) (EC 3.1.1.4)	PLA2G2A hCG_1738998	Homo sapiens (Human)	144
PLA2G2A		P14555	PA2GA_HUMAN	reviewed	Phospholipase A2, membrane associated (EC 3.1.1.4) (GIIC sPLA2) (Group IIA phospholipase A2) (Non-pancreatic secretory phospholipase A2) (NPS-PLA2) (Phosphatidylcholine 2-acylhydrolase 2A)	PLA2G2A PLA2B PLA2L RASF-A	Homo sapiens (Human)	144
PLA2G2A		Q8NI47	Q8NI47_HUMAN	unreviewed	Phospholipase A(2) (EC 3.1.1.4) (Fragment)	PLA2G2A	Homo sapiens (Human)	48
PTPN1		A8K3M3	A8K3M3_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	PTPN1 hCG_37134	Homo sapiens (Human)	435
PTPN1		B4DSN5	B4DSN5_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	PTPN1	Homo sapiens (Human)	362
PTPN1		P18031	PTN1_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	PTPN1 PTP1B	Homo sapiens (Human)	435
PTPN11		A0A0U1RRI0	A0A0U1RRI0_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 11 (Fragment)	PTPN11	Homo sapiens (Human)	196
PTPN11		B3GUD3	B3GUD3_HUMAN	unreviewed	Protein tyrosine phosphatase-2 (Fragment)	PTPN11	Homo sapiens (Human)	105
PTPN11		B3GUD4	B3GUD4_HUMAN	unreviewed	Protein tyrosine phosphatase-2 (Fragment)	PTPN11	Homo sapiens (Human)	102
PTPN11		B3GUD5	B3GUD5_HUMAN	unreviewed	Protein tyrosine phosphatase-2	PTPN11	Homo sapiens (Human)	214
PTPN11		H0YF12	H0YF12_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 11 (Fragment)	PTPN11	Homo sapiens (Human)	108
PTPN11		Q06124	PTN11_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	597
PTPN11		Q96I26	Q96I26_HUMAN	unreviewed	PTPN11 protein (cDNA, FLJ92431)	PTPN11	Homo sapiens (Human)	50
PTPN2		A8K3N4	A8K3N4_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	PTPN2 PTN2 hCG_1999834	Homo sapiens (Human)	387
PTPN2		D3DUJ3	D3DUJ3_HUMAN	unreviewed	Protein tyrosine phosphatase, non-receptor type 2, isoform CRA_d	PTPN2 hCG_1999834	Homo sapiens (Human)	316
PTPN2		K7EIE9	K7EIE9_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 2 (Fragment)	PTPN2	Homo sapiens (Human)	151
PTPN2		K7EIY0	K7EIY0_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 2 (Fragment)	PTPN2	Homo sapiens (Human)	112
PTPN2		K7ELS9	K7ELS9_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 2 (Fragment)	PTPN2	Homo sapiens (Human)	68
PTPN2		K7ENP9	K7ENP9_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 2 (Fragment)	PTPN2	Homo sapiens (Human)	146
PTPN2		K7EQG9	K7EQG9_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	PTPN2	Homo sapiens (Human)	386
PTPN2		K7ER87	K7ER87_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 2	PTPN2	Homo sapiens (Human)	165
PTPN2		K7ERU1	K7ERU1_HUMAN	unreviewed	Tyrosine-protein phosphatase non-receptor type 2	PTPN2	Homo sapiens (Human)	42
PTPN2		P17706	PTN2_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 2 (EC 3.1.3.48) (T-cell protein-tyrosine phosphatase) (TCPTP)	PTPN2 PTPT	Homo sapiens (Human)	415
REG1A		P05451	REG1A_HUMAN	reviewed	Lithostathine-1-alpha (Islet cells regeneration factor) (ICRF) (Islet of Langerhans regenerating protein) (REG) (Pancreatic stone protein) (PSP) (Pancreatic thread protein) (PTP) (Regenerating islet-derived protein 1-alpha) (REG-1-alpha) (Regenerating protein I alpha)	REG1A PSPS PSPS1 REG	Homo sapiens (Human)	166
REG1A		Q2TBE1	Q2TBE1_HUMAN	unreviewed	REG1A protein (Fragment)	REG1A	Homo sapiens (Human)	86
SOCS1		O15524	SOCS1_HUMAN	reviewed	Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3)	SOCS1 SSI1 TIP3	Homo sapiens (Human)	211
SOCS1		Q4JHT5	Q4JHT5_HUMAN	unreviewed	Suppressor of cytokine signaling 1 (cDNA FLJ45719 fis, clone FELNG2001953, highly similar to Suppressor of cytokine signaling 1)	SOCS1 hCG_14617	Homo sapiens (Human)	211
SOCS3		K7EIF6	K7EIF6_HUMAN	unreviewed	Suppressor of cytokine-signaling 3 (Fragment)	SOCS3	Homo sapiens (Human)	15
SOCS3		O14543	SOCS3_HUMAN	reviewed	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3)	SOCS3 CIS3 SSI3	Homo sapiens (Human)	225
SOCS3		Q6FI39	Q6FI39_HUMAN	unreviewed	SOCS3 protein (Suppressor of cytokine signaling 3, isoform CRA_a) (cDNA, FLJ94944, highly similar to Homo sapiens suppressor of cytokine signaling 3 (SOCS3), mRNA)	SOCS3 hCG_1776363	Homo sapiens (Human)	225
STAM2		O75886	STAM2_HUMAN	reviewed	Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein)	STAM2 HBP	Homo sapiens (Human)	525
STAT1		D2KFR9	D2KFR9_HUMAN	unreviewed	Signal transducer and activator of transcription 1-alpha/beta (Truncated signal transducer and activator of transcription 1)	STAT1	Homo sapiens (Human)	193
STAT1		E7ENM1	E7ENM1_HUMAN	unreviewed	Signal transducer and activator of transcription 1-alpha/beta (Fragment)	STAT1	Homo sapiens (Human)	150
STAT1		E7EPD2	E7EPD2_HUMAN	unreviewed	Signal transducer and activator of transcription 1-alpha/beta (Fragment)	STAT1	Homo sapiens (Human)	180
STAT1		E9PH66	E9PH66_HUMAN	unreviewed	Signal transducer and activator of transcription 1-alpha/beta (Fragment)	STAT1	Homo sapiens (Human)	69
STAT1		H7BZ88	H7BZ88_HUMAN	unreviewed	Signal transducer and activator of transcription 1-alpha/beta (Fragment)	STAT1	Homo sapiens (Human)	40
STAT1		H7BZB5	H7BZB5_HUMAN	unreviewed	Signal transducer and activator of transcription 1-alpha/beta (Fragment)	STAT1	Homo sapiens (Human)	58
STAT1		J3KPM9	J3KPM9_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT1	Homo sapiens (Human)	714
STAT1		P42224	STAT1_HUMAN	reviewed	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750
STAT1		Q67C41	Q67C41_HUMAN	unreviewed	Signal transducer and activator of transcription 1 variant a (Fragment)	STAT1	Homo sapiens (Human)	42
STAT1		Q9UK44	Q9UK44_HUMAN	unreviewed	Signal transducer and activator of transcription 1 (Fragment)	STAT1	Homo sapiens (Human)	9
STAT2		A0JLQ9	A0JLQ9_HUMAN	unreviewed	STAT2 protein (Fragment)	STAT2	Homo sapiens (Human)	577
STAT2		B4DLC8	B4DLC8_HUMAN	unreviewed	Signal transducer and activator of transcription 2 (cDNA FLJ59331, highly similar to Signal transducer and activator of transcription 2)	STAT2	Homo sapiens (Human)	460
STAT2		G3V319	G3V319_HUMAN	unreviewed	Signal transducer and activator of transcription 2	STAT2	Homo sapiens (Human)	65
STAT2		P52630	STAT2_HUMAN	reviewed	Signal transducer and activator of transcription 2 (p113)	STAT2	Homo sapiens (Human)	851
STAT2		Q6LD48	Q6LD48_HUMAN	unreviewed	Stat2 type a (Fragment)	Stat2	Homo sapiens (Human)	53
STAT2		R9QDW3	R9QDW3_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QDW5	R9QDW5_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QDY3	R9QDY3_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QDY7	R9QDY7_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QDZ0	R9QDZ0_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QE44	R9QE44_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QE53	R9QE53_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QE63	R9QE63_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QE65	R9QE65_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2 hCG_24995	Homo sapiens (Human)	851
STAT2		R9QE71	R9QE71_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QF58	R9QF58_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QF97	R9QF97_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QF99	R9QF99_HUMAN	unreviewed	Signal transducer and activator of transcription (Fragment)	STAT2	Homo sapiens (Human)	573
STAT2		R9QFA2	R9QFA2_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QFA6	R9QFA6_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QFC5	R9QFC5_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QG79	R9QG79_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QG81	R9QG81_HUMAN	unreviewed	Signal transducer and activator of transcription (Fragment)	STAT2	Homo sapiens (Human)	276
STAT2		R9QG88	R9QG88_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QG91	R9QG91_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT2		R9QGC0	R9QGC0_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT2	Homo sapiens (Human)	851
STAT3		B5BTZ6	B5BTZ6_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT3	Homo sapiens (Human)	769
STAT3		G8JLH9	G8JLH9_HUMAN	unreviewed	Signal transducer and activator of transcription	STAT3	Homo sapiens (Human)	672
STAT3		K7EP08	K7EP08_HUMAN	unreviewed	Signal transducer and activator of transcription 3 (Fragment)	STAT3	Homo sapiens (Human)	84
STAT3		P40763	STAT3_HUMAN	reviewed	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770
STAT3		Q9BXH2	Q9BXH2_HUMAN	unreviewed	STAT3 (Fragment)	STAT3	Homo sapiens (Human)	51
TGFB1		A0A024R0P8	A0A024R0P8_HUMAN	unreviewed	Transforming growth factor, beta 1 (Camurati-Engelmann disease), isoform CRA_a	TGFB1 hCG_22321	Homo sapiens (Human)	390
TGFB1		A0A078BBI5	A0A078BBI5_HUMAN	unreviewed	Transforming growth factor, beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	143
TGFB1		A0A078BC11	A0A078BC11_HUMAN	unreviewed	Transforming growth factor, beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	143
TGFB1		A0A078BCH8	A0A078BCH8_HUMAN	unreviewed	Transforming growth factor, beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	143
TGFB1		A0A078BCJ0	A0A078BCJ0_HUMAN	unreviewed	Transforming growth factor, beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	143
TGFB1		A0A078BFK3	A0A078BFK3_HUMAN	unreviewed	Transforming growth factor, beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	143
TGFB1		B2C8Z3	B2C8Z3_HUMAN	unreviewed	Transforming growth factor beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	118
TGFB1		M0R2S0	M0R2S0_HUMAN	unreviewed	Transforming growth factor beta-1 (Fragment)	TGFB1	Homo sapiens (Human)	120
TGFB1		P01137	TGFB1_HUMAN	reviewed	Transforming growth factor beta-1 (TGF-beta-1) [Cleaved into: Latency-associated peptide (LAP)]	TGFB1 TGFB	Homo sapiens (Human)	390
TGFB1		Q49IK8	Q49IK8_HUMAN	unreviewed	Transforming growth factor beta 1 (Fragment)	TGFB1	Homo sapiens (Human)	118
