yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	Entry	Entry name		Protein names	Gene names	Organism	Length
GOLGA4		H0Y6I0	H0Y6I0_HUMAN	unreviewed	Golgin subfamily A member 4 (Fragment)	GOLGA4	Homo sapiens (Human)	2099
GOLGA4		Q13439	GOGA4_HUMAN	reviewed	Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230)	GOLGA4	Homo sapiens (Human)	2230
GOLGA4		Q49A56	Q49A56_HUMAN	unreviewed	GOLGA4 protein	GOLGA4	Homo sapiens (Human)	218
GOLGA4		Q86W71	Q86W71_HUMAN	unreviewed	GOLGA4 protein (Golgin subfamily A member 4)	GOLGA4	Homo sapiens (Human)	166
GOSR2		E7EQ34	E7EQ34_HUMAN	unreviewed	Golgi SNAP receptor complex member 2	GOSR2	Homo sapiens (Human)	232
GOSR2		I3L0K1	I3L0K1_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Fragment)	GOSR2	Homo sapiens (Human)	199
GOSR2		I3L1K7	I3L1K7_HUMAN	unreviewed	Golgi SNAP receptor complex member 2	GOSR2	Homo sapiens (Human)	143
GOSR2		I3L3V4	I3L3V4_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Fragment)	GOSR2	Homo sapiens (Human)	149
GOSR2		I3L4Z6	I3L4Z6_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Golgi SNAP receptor complex member 2, isoform CRA_c)	GOSR2 hCG_1993582	Homo sapiens (Human)	165
GOSR2		I3NI02	I3NI02_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Fragment)	GOSR2	Homo sapiens (Human)	98
GOSR2		O14653	GOSR2_HUMAN	reviewed	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	GOSR2 GS27	Homo sapiens (Human)	212
ICA1		A0A024RA29	A0A024RA29_HUMAN	unreviewed	Islet cell autoantigen 1, 69kDa, isoform CRA_a (Testicular tissue protein Li 162)	ICA1 hCG_20519	Homo sapiens (Human)	483
ICA1		B9ZVM7	B9ZVM7_HUMAN	unreviewed	Islet cell autoantigen 1 (Fragment)	ICA1	Homo sapiens (Human)	256
ICA1		C9IZC7	C9IZC7_HUMAN	unreviewed	Islet cell autoantigen 1 (Fragment)	ICA1	Homo sapiens (Human)	70
ICA1		C9J3Y4	C9J3Y4_HUMAN	unreviewed	Islet cell autoantigen 1 (Fragment)	ICA1	Homo sapiens (Human)	162
ICA1		C9J8Y3	C9J8Y3_HUMAN	unreviewed	Islet cell autoantigen 1 (Fragment)	ICA1	Homo sapiens (Human)	134
ICA1		E7ENI6	E7ENI6_HUMAN	unreviewed	Islet cell autoantigen 1	ICA1	Homo sapiens (Human)	350
ICA1		E9PDL4	E9PDL4_HUMAN	unreviewed	Islet cell autoantigen 1	ICA1	Homo sapiens (Human)	471
ICA1		F8WET5	F8WET5_HUMAN	unreviewed	Islet cell autoantigen 1	ICA1	Homo sapiens (Human)	85
ICA1		Q05084	ICA69_HUMAN	reviewed	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)	ICA1	Homo sapiens (Human)	483
ICA1		Q6LCR0	Q6LCR0_HUMAN	unreviewed	Islet cell autoantigen 1 (Islet cell autoantigen 1, 69kDa, isoform CRA_h) (Islet cell autoantigen ICAp69)	ICA1 hCG_20519	Homo sapiens (Human)	257
ICA1		Q6LCT9	Q6LCT9_HUMAN	unreviewed	Diabetes mellitus type I autoantigen (Islet cell autoantigen 1)	ICAp69 ICA1	Homo sapiens (Human)	87
ICA1		Q9UDQ6	Q9UDQ6_HUMAN	unreviewed	Putative uncharacterized protein ICA1 (Fragment)	ICA1	Homo sapiens (Human)	39
ICA1		Q9UHM5	Q9UHM5_HUMAN	unreviewed	Islet cell autoantigen ICA69 (Fragment)	ICA1	Homo sapiens (Human)	14
IGF2R		A0N9R6	A0N9R6_HUMAN	unreviewed	Insulin-like growth factor type 2 receptor (Insulin-like growth factor type II receptor) (Fragment)	IGF2R igf2R	Homo sapiens (Human)	49
IGF2R		A0N9R7	A0N9R7_HUMAN	unreviewed	Insulin-like growth factor type II receptor (Fragment)	IGF2R	Homo sapiens (Human)	43
IGF2R		A0N9R9	A0N9R9_HUMAN	unreviewed	Insulin-like growth factor type II receptor (Fragment)	IGF2R	Homo sapiens (Human)	18
IGF2R		P11717	MPRI_HUMAN	reviewed	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	IGF2R MPRI	Homo sapiens (Human)	2491
IGF2R		Q13660	Q13660_HUMAN	unreviewed	Mannose 6-phosphate/insulin-like growth factor-II receptor (Fragment)	IGF2R mannose 6-phosphate	Homo sapiens (Human)	24
IGF2R		Q13661	Q13661_HUMAN	unreviewed	Mannose 6-phosphate/insulin-like growth factor-II receptor (Fragment)	IGF2R mannose 6-phosphate	Homo sapiens (Human)	24
IGF2R		S4R328	S4R328_HUMAN	unreviewed	Cation-independent mannose-6-phosphate receptor (Fragment)	IGF2R	Homo sapiens (Human)	185
KIF1B		A0A024R4H4	A0A024R4H4_HUMAN	unreviewed	Kinesin family member 1B, isoform CRA_b	KIF1B hCG_25285	Homo sapiens (Human)	1633
KIF1B		A0A087WWA3	A0A087WWA3_HUMAN	unreviewed	Kinesin-like protein KIF1B	KIF1B	Homo sapiens (Human)	1797
KIF1B		A0A0U1RQL3	A0A0U1RQL3_HUMAN	unreviewed	Kinesin-like protein KIF1B (Fragment)	KIF1B	Homo sapiens (Human)	498
KIF1B		O60333	KIF1B_HUMAN	reviewed	Kinesin-like protein KIF1B (Klp)	KIF1B KIAA0591 KIAA1448	Homo sapiens (Human)	1816
KIF1B		Q4R9M9	Q4R9M9_HUMAN	unreviewed	Kinesin family member 1Bbeta isoform II (Kinesin-like protein KIF1B)	KIF1Bbeta KIF1B	Homo sapiens (Human)	1809
KRT18		A0A024RAY2	A0A024RAY2_HUMAN	unreviewed	Keratin 18, isoform CRA_a	KRT18 hCG_43757	Homo sapiens (Human)	430
KRT18		F8VZY9	F8VZY9_HUMAN	unreviewed	Keratin, type I cytoskeletal 18	KRT18	Homo sapiens (Human)	391
KRT18		I6L965	I6L965_HUMAN	unreviewed	KRT18 protein (Fragment)	KRT18	Homo sapiens (Human)	372
KRT18		P05783	K1C18_HUMAN	reviewed	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	KRT18 CYK18 PIG46	Homo sapiens (Human)	430
LAMP2		A0A1B1HY22	A0A1B1HY22_HUMAN	unreviewed	Lysosomal-associated membrane protein 2 (Fragment)	LAMP2	Homo sapiens (Human)	71
LAMP2		A0A1B1HY35	A0A1B1HY35_HUMAN	unreviewed	Lysosomal-associated membrane protein 2 (Fragment)	LAMP2	Homo sapiens (Human)	61
LAMP2		H0YCG2	H0YCG2_HUMAN	unreviewed	Lysosome-associated membrane glycoprotein 2 (Fragment)	LAMP2	Homo sapiens (Human)	258
LAMP2		P13473	LAMP2_HUMAN	reviewed	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	Homo sapiens (Human)	410
LMAN1		A0A024R2A7	A0A024R2A7_HUMAN	unreviewed	Lectin, mannose-binding, 1, isoform CRA_b	LMAN1 hCG_1979190	Homo sapiens (Human)	510
LMAN1		A0PJ85	A0PJ85_HUMAN	unreviewed	LMAN1 protein (Fragment)	LMAN1	Homo sapiens (Human)	311
LMAN1		P49257	LMAN1_HUMAN	reviewed	Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)	LMAN1 ERGIC53 F5F8D	Homo sapiens (Human)	510
M6PR		F5GX30	F5GX30_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor	M6PR	Homo sapiens (Human)	191
M6PR		F5GXE0	F5GXE0_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	92
M6PR		F5GXU0	F5GXU0_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	109
M6PR		F5H4U1	F5H4U1_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	25
M6PR		F5H883	F5H883_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor	M6PR	Homo sapiens (Human)	133
M6PR		H0YF90	H0YF90_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	148
M6PR		H0YFL0	H0YFL0_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	96
M6PR		H0YFY9	H0YFY9_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	85
M6PR		H0YGE9	H0YGE9_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	104
M6PR		H0YGT2	H0YGT2_HUMAN	unreviewed	Cation-dependent mannose-6-phosphate receptor (Fragment)	M6PR	Homo sapiens (Human)	122
M6PR		P20645	MPRD_HUMAN	reviewed	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)	M6PR MPR46 MPRD	Homo sapiens (Human)	277
M6PR		Q6I9U3	Q6I9U3_HUMAN	unreviewed	M6PR protein	M6PR	Homo sapiens (Human)	277
MAPK1		P28482	MK01_HUMAN	reviewed	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)	360
MAPK1		Q1HBJ4	Q1HBJ4_HUMAN	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK1 hCG_32557	Homo sapiens (Human)	360
MAPK1		Q499G7	Q499G7_HUMAN	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK1	Homo sapiens (Human)	360
MON2		B7ZM73	B7ZM73_HUMAN	unreviewed	MON2 protein	MON2	Homo sapiens (Human)	1688
MON2		F8VQS2	F8VQS2_HUMAN	unreviewed	Protein MON2 homolog	MON2	Homo sapiens (Human)	59
MON2		F8VZV1	F8VZV1_HUMAN	unreviewed	Protein MON2 homolog	MON2	Homo sapiens (Human)	1072
MON2		F8VZV6	F8VZV6_HUMAN	unreviewed	Protein MON2 homolog	MON2	Homo sapiens (Human)	43
MON2		Q6P148	Q6P148_HUMAN	unreviewed	ATP synthase protein 8 (Fragment)	MON2	Homo sapiens (Human)	660
MON2		Q7Z3U7	MON2_HUMAN	reviewed	Protein MON2 homolog (Protein SF21)	MON2 KIAA1040 SF21	Homo sapiens (Human)	1717
NAPA		A0A024R0R9	A0A024R0R9_HUMAN	unreviewed	N-ethylmaleimide-sensitive factor attachment protein, alpha, isoform CRA_c	NAPA hCG_20549	Homo sapiens (Human)	295
NAPA		A0A024R0V6	A0A024R0V6_HUMAN	unreviewed	N-ethylmaleimide-sensitive factor attachment protein, alpha, isoform CRA_b (Fragment)	NAPA hCG_20549	Homo sapiens (Human)	118
NAPA		M0QZM9	M0QZM9_HUMAN	unreviewed	Alpha-soluble NSF attachment protein	NAPA	Homo sapiens (Human)	35
NAPA		M0QZN5	M0QZN5_HUMAN	unreviewed	Alpha-soluble NSF attachment protein	NAPA	Homo sapiens (Human)	60
NAPA		M0R027	M0R027_HUMAN	unreviewed	Alpha-soluble NSF attachment protein (Fragment)	NAPA	Homo sapiens (Human)	102
NAPA		M0R031	M0R031_HUMAN	unreviewed	Alpha-soluble NSF attachment protein	NAPA	Homo sapiens (Human)	74
NAPA		M0R058	M0R058_HUMAN	unreviewed	Alpha-soluble NSF attachment protein (Fragment)	NAPA	Homo sapiens (Human)	137
NAPA		M0R0I4	M0R0I4_HUMAN	unreviewed	Alpha-soluble NSF attachment protein (Fragment)	NAPA	Homo sapiens (Human)	139
NAPA		M0R0Y2	M0R0Y2_HUMAN	unreviewed	Alpha-soluble NSF attachment protein	NAPA	Homo sapiens (Human)	256
NAPA		M0R213	M0R213_HUMAN	unreviewed	Alpha-soluble NSF attachment protein (Fragment)	NAPA	Homo sapiens (Human)	83
NAPA		M0R2M1	M0R2M1_HUMAN	unreviewed	Alpha-soluble NSF attachment protein (Fragment)	NAPA	Homo sapiens (Human)	268
NAPA		O96009	NAPSA_HUMAN	reviewed	Napsin-A (EC 3.4.23.-) (Aspartyl protease 4) (ASP4) (Asp 4) (Napsin-1) (TA01/TA02)	NAPSA NAP1 NAPA	Homo sapiens (Human)	420
NAPA		P54920	SNAA_HUMAN	reviewed	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha)	NAPA SNAPA	Homo sapiens (Human)	295
NAPG		J3KTJ6	J3KTJ6_HUMAN	unreviewed	Gamma-soluble NSF attachment protein (Fragment)	NAPG	Homo sapiens (Human)	177
NAPG		J3QKW4	J3QKW4_HUMAN	unreviewed	Gamma-soluble NSF attachment protein	NAPG	Homo sapiens (Human)	22
NAPG		J3QS28	J3QS28_HUMAN	unreviewed	Gamma-soluble NSF attachment protein	NAPG	Homo sapiens (Human)	18
NAPG		Q6FHY4	Q6FHY4_HUMAN	unreviewed	N-ethylmaleimide-sensitive factor attachment protein, gamma, isoform CRA_b (NAPG protein) (cDNA, FLJ95310, Homo sapiens N-ethylmaleimide-sensitive factor attachment protein,gamma (NAPG), mRNA)	NAPG hCG_37210	Homo sapiens (Human)	312
NAPG		Q99747	SNAG_HUMAN	reviewed	Gamma-soluble NSF attachment protein (SNAP-gamma) (N-ethylmaleimide-sensitive factor attachment protein gamma)	NAPG SNAPG	Homo sapiens (Human)	312
OCRL		Q01968	OCRL_HUMAN	reviewed	Inositol polyphosphate 5-phosphatase OCRL-1 (EC 3.1.3.36) (Lowe oculocerebrorenal syndrome protein)	OCRL INPP5F OCRL1	Homo sapiens (Human)	901
OCRL		Q504W7	Q504W7_HUMAN	unreviewed	Oculocerebrorenal syndrome of Lowe	OCRL	Homo sapiens (Human)	893
OCRL		Q6PJ10	Q6PJ10_HUMAN	unreviewed	OCRL protein (Fragment)	OCRL	Homo sapiens (Human)	122
PAM		D6R961	D6R961_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	28
PAM		D6RAQ2	D6RAQ2_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	42
PAM		D6RCD5	D6RCD5_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	53
PAM		D6RDU2	D6RDU2_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	25
PAM		D6RF09	D6RF09_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	29
PAM		D6RG20	D6RG20_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	68
PAM		F8W8D9	F8W8D9_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase	PAM	Homo sapiens (Human)	175
PAM		H0Y9I4	H0Y9I4_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	250
PAM		H7BYD9	H7BYD9_HUMAN	unreviewed	Peptidyl-glycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	679
PAM		P19021	AMD_HUMAN	reviewed	Peptidyl-glycine alpha-amidating monooxygenase (PAM) [Includes: Peptidylglycine alpha-hydroxylating monooxygenase (PHM) (EC 1.14.17.3); Peptidyl-alpha-hydroxyglycine alpha-amidating lyase (EC 4.3.2.5) (Peptidylamidoglycolate lyase) (PAL)]	PAM	Homo sapiens (Human)	973
PAM		Q7KYY0	Q7KYY0_HUMAN	unreviewed	Peptidylglycine alpha-amidating monooxygenase (Fragment)	PAM	Homo sapiens (Human)	21
PPT1		E9PIA8	E9PIA8_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	204
PPT1		E9PK48	E9PK48_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1	PPT1	Homo sapiens (Human)	148
PPT1		E9PMG2	E9PMG2_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	271
PPT1		E9PP28	E9PP28_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	98
PPT1		E9PSE5	E9PSE5_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1	PPT1	Homo sapiens (Human)	87
PPT1		P50897	PPT1_HUMAN	reviewed	Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	PPT1 CLN1 PPT	Homo sapiens (Human)	306
PPT1		Q5T0S4	Q5T0S4_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	177
RAB14		A0A024R845	A0A024R845_HUMAN	unreviewed	RAB14, member RAS oncogene family, isoform CRA_a	RAB14 hCG_30332	Homo sapiens (Human)	215
RAB14		P61106	RAB14_HUMAN	reviewed	Ras-related protein Rab-14	RAB14	Homo sapiens (Human)	215
RAB14		X6RFL8	X6RFL8_HUMAN	unreviewed	Ras-related protein Rab-14 (Fragment)	RAB14	Homo sapiens (Human)	181
RAB22A		Q9UL26	RB22A_HUMAN	reviewed	Ras-related protein Rab-22A (Rab-22)	RAB22A RAB22	Homo sapiens (Human)	194
RAB2A		A0A1D5RMT4	A0A1D5RMT4_HUMAN	unreviewed	Ras-related protein Rab-2A (Fragment)	RAB2A	Homo sapiens (Human)	10
RAB2A		E9PKL7	E9PKL7_HUMAN	unreviewed	Ras-related protein Rab-2A	RAB2A	Homo sapiens (Human)	181
RAB2A		H0YD31	H0YD31_HUMAN	unreviewed	Ras-related protein Rab-2A (Fragment)	RAB2A	Homo sapiens (Human)	135
RAB2A		H0YDL5	H0YDL5_HUMAN	unreviewed	Ras-related protein Rab-2A (Fragment)	RAB2A	Homo sapiens (Human)	69
RAB2A		H7C125	H7C125_HUMAN	unreviewed	Ras-related protein Rab-2A (Fragment)	RAB2A	Homo sapiens (Human)	104
RAB2A		P61019	RAB2A_HUMAN	reviewed	Ras-related protein Rab-2A	RAB2A RAB2	Homo sapiens (Human)	212
RAB5A		A0A024R2K1	A0A024R2K1_HUMAN	unreviewed	RAB5A, member RAS oncogene family, isoform CRA_a	RAB5A hCG_1776267	Homo sapiens (Human)	215
RAB5A		C9J3X8	C9J3X8_HUMAN	unreviewed	Ras-related protein Rab-5A (Fragment)	RAB5A	Homo sapiens (Human)	15
RAB5A		F8WCY6	F8WCY6_HUMAN	unreviewed	Ras-related protein Rab-5A	RAB5A	Homo sapiens (Human)	62
RAB5A		F8WD79	F8WD79_HUMAN	unreviewed	Ras-related protein Rab-5A	RAB5A	Homo sapiens (Human)	65
RAB5A		P20339	RAB5A_HUMAN	reviewed	Ras-related protein Rab-5A	RAB5A RAB5	Homo sapiens (Human)	215
RAB9A		A0A024RBV5	A0A024RBV5_HUMAN	unreviewed	RAB9A, member RAS oncogene family, isoform CRA_a	RAB9A hCG_19693	Homo sapiens (Human)	201
RAB9A		A0A1B0GUI0	A0A1B0GUI0_HUMAN	unreviewed	Ras-related protein Rab-9A (Fragment)	RAB9A	Homo sapiens (Human)	23
RAB9A		P51151	RAB9A_HUMAN	reviewed	Ras-related protein Rab-9A	RAB9A RAB9	Homo sapiens (Human)	201
RER1		A0A0A0MR06	A0A0A0MR06_HUMAN	unreviewed	Protein RER1 (Fragment)	RER1	Homo sapiens (Human)	177
RER1		O15258	RER1_HUMAN	reviewed	Protein RER1	RER1	Homo sapiens (Human)	196
RER1		Q5T091	Q5T091_HUMAN	unreviewed	Protein RER1 (RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae), isoform CRA_b)	RER1 hCG_24604	Homo sapiens (Human)	187
RER1		Q5T092	Q5T092_HUMAN	unreviewed	Protein RER1 (Fragment)	RER1	Homo sapiens (Human)	158
RER1		Q5T093	Q5T093_HUMAN	unreviewed	Protein RER1	RER1	Homo sapiens (Human)	117
RER1		Q5T094	Q5T094_HUMAN	unreviewed	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae), isoform CRA_a (Similar to S. cerevisiae RER1) (cDNA FLJ78405, highly similar to Homo sapiens RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae), mRNA)	RER1 hCG_24604	Homo sapiens (Human)	196
RER1		Q6IBJ7	Q6IBJ7_HUMAN	unreviewed	RER1 protein	RER1	Homo sapiens (Human)	196
RER1		Q9P0H9	Q9P0H9_HUMAN	unreviewed	RER1 protein	RER1	Homo sapiens (Human)	214
RPS6KA3		B1AXG1	B1AXG1_HUMAN	unreviewed	Ribosomal protein S6 kinase alpha-3 (Fragment)	RPS6KA3	Homo sapiens (Human)	227
RPS6KA3		B1AXG2	B1AXG2_HUMAN	unreviewed	Ribosomal protein S6 kinase alpha-3 (Fragment)	RPS6KA3	Homo sapiens (Human)	133
RPS6KA3		P51812	KS6A3_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	RPS6KA3 ISPK1 MAPKAPK1B RSK2	Homo sapiens (Human)	740
RPS6KA3		Q7Z2E2	Q7Z2E2_HUMAN	unreviewed	RPS6KA3 protein (Fragment)	RPS6KA3	Homo sapiens (Human)	9
RPS6KA3		Q7Z2J3	Q7Z2J3_HUMAN	unreviewed	RPS6KA3 protein (Fragment)	RPS6KA3	Homo sapiens (Human)	29
RPS6KA3		Q7Z2J4	Q7Z2J4_HUMAN	unreviewed	RPS6KA3 protein (Fragment)	RPS6KA3	Homo sapiens (Human)	42
RPS6KA3		Q8TDJ4	Q8TDJ4_HUMAN	unreviewed	Insulin-stimulated protein kinase 1 (Fragment)	RPS6KA3	Homo sapiens (Human)	22
SCAMP1		A0A087WTX8	A0A087WTX8_HUMAN	unreviewed	Secretory carrier-associated membrane protein 1 (Fragment)	SCAMP1	Homo sapiens (Human)	42
SCAMP1		A0A087WU14	A0A087WU14_HUMAN	unreviewed	Secretory carrier-associated membrane protein (Secretory carrier membrane protein) (Fragment)	SCAMP1	Homo sapiens (Human)	206
SCAMP1		A0A087WXB0	A0A087WXB0_HUMAN	unreviewed	Secretory carrier-associated membrane protein (Secretory carrier membrane protein)	SCAMP1	Homo sapiens (Human)	312
SCAMP1		A0A087WZA6	A0A087WZA6_HUMAN	unreviewed	Secretory carrier-associated membrane protein 1 (Fragment)	SCAMP1	Homo sapiens (Human)	119
SCAMP1		O15126	SCAM1_HUMAN	reviewed	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	SCAMP1 SCAMP	Homo sapiens (Human)	338
SCAMP3		O14828	SCAM3_HUMAN	reviewed	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	SCAMP3 C1orf3 PROPIN1	Homo sapiens (Human)	347
SCAMP3		Q6FHJ5	Q6FHJ5_HUMAN	unreviewed	Secretory carrier-associated membrane protein (Secretory carrier membrane protein) (Fragment)	SCAMP3	Homo sapiens (Human)	347
SCRN1		A0A024RA21	A0A024RA21_HUMAN	unreviewed	Secernin 1, isoform CRA_a	SCRN1 hCG_37324	Homo sapiens (Human)	346
SCRN1		A0A090N7T9	A0A090N7T9_HUMAN	unreviewed	Secernin 1	SCRN1 tcag7.1066	Homo sapiens (Human)	414
SCRN1		B8ZZP4	B8ZZP4_HUMAN	unreviewed	Secernin-1	SCRN1	Homo sapiens (Human)	140
SCRN1		C9J7U9	C9J7U9_HUMAN	unreviewed	Secernin-1 (Fragment)	SCRN1	Homo sapiens (Human)	141
SCRN1		C9K052	C9K052_HUMAN	unreviewed	Secernin-1 (Fragment)	SCRN1	Homo sapiens (Human)	245
SCRN1		Q12765	SCRN1_HUMAN	reviewed	Secernin-1	SCRN1 KIAA0193	Homo sapiens (Human)	414
SEC22B		A0A087X1A9	A0A087X1A9_HUMAN	unreviewed	Vesicle-trafficking protein SEC22b (Fragment)	SEC22B	Homo sapiens (Human)	79
SEC22B		I1VE16	I1VE16_HUMAN	unreviewed	SEC22 vesicle trafficking protein B (Fragment)	SEC22B	Homo sapiens (Human)	36
SEC22B		I1VE17	I1VE17_HUMAN	unreviewed	SEC22 vesicle trafficking protein B (Fragment)	SEC22B	Homo sapiens (Human)	53
SEC22B		I1VE18	I1VE18_HUMAN	unreviewed	SEC22 vesicle trafficking protein B (Fragment)	SEC22B	Homo sapiens (Human)	53
SEC22B		I1VE19	I1VE19_HUMAN	unreviewed	SEC22 vesicle trafficking protein B (Fragment)	SEC22B	Homo sapiens (Human)	53
SEC22B		I1VE20	I1VE20_HUMAN	unreviewed	SEC22 vesicle trafficking protein B (Fragment)	SEC22B	Homo sapiens (Human)	50
SEC22B		O75396	SC22B_HUMAN	reviewed	Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1)	SEC22B SEC22L1	Homo sapiens (Human)	215
SEC24D		D6RAE2	D6RAE2_HUMAN	unreviewed	Protein transport protein Sec24D	SEC24D	Homo sapiens (Human)	67
SEC24D		D6RBM1	D6RBM1_HUMAN	unreviewed	Protein transport protein Sec24D	SEC24D	Homo sapiens (Human)	211
SEC24D		D6RGJ5	D6RGJ5_HUMAN	unreviewed	Protein transport protein Sec24D (Fragment)	SEC24D	Homo sapiens (Human)	165
SEC24D		E9PC44	E9PC44_HUMAN	unreviewed	Protein transport protein Sec24D (cDNA FLJ43974 fis, clone TESTI4018101, highly similar to Protein transport protein Sec24D)	SEC24D	Homo sapiens (Human)	393
SEC24D		E9PDM8	E9PDM8_HUMAN	unreviewed	Protein transport protein Sec24D	SEC24D	Homo sapiens (Human)	663
SEC24D		E9PG84	E9PG84_HUMAN	unreviewed	Protein transport protein Sec24D	SEC24D	Homo sapiens (Human)	305
SEC24D		O94855	SC24D_HUMAN	reviewed	Protein transport protein Sec24D (SEC24-related protein D)	SEC24D KIAA0755	Homo sapiens (Human)	1032
SEC24D		Q49AI3	Q49AI3_HUMAN	unreviewed	SEC24D protein	SEC24D	Homo sapiens (Human)	393
SEC24D		Q4W5D3	Q4W5D3_HUMAN	unreviewed	Putative uncharacterized protein SEC24D (Fragment)	SEC24D	Homo sapiens (Human)	570
